Date,API2
1/3/2017,82.4
1/4/2017,84.25
1/5/2017,85.65
1/6/2017,85.15
1/9/2017,84.25
1/10/2017,86.75
1/11/2017,88.55
1/12/2017,88.95
1/13/2017,88.45
1/17/2017,89.75
1/18/2017,88.95
1/19/2017,88.75
1/20/2017,89.3
1/23/2017,89.4
1/24/2017,89.2
1/25/2017,88.75
1/26/2017,88.55
1/30/2017,82.35
1/31/2017,85.3
2/1/2017,85.3
2/2/2017,85.2
2/3/2017,84.45
2/6/2017,84.25
2/7/2017,84.05
2/8/2017,83.25
2/9/2017,82.7
2/10/2017,81.15
2/13/2017,80.3
2/14/2017,80.4
2/15/2017,81.5
2/16/2017,81.6
2/17/2017,81.85
2/21/2017,82.35
2/22/2017,82.2
2/23/2017,82.35
2/24/2017,82.25
2/27/2017,78.5
2/28/2017,77.85
3/1/2017,78.9
3/2/2017,77.7
3/3/2017,76.75
3/6/2017,76.8
3/7/2017,75.9
3/8/2017,76.15
3/9/2017,74.9
3/10/2017,75.4
3/13/2017,75.75
3/14/2017,74.8
3/15/2017,75.1
3/16/2017,74.75
3/17/2017,74.8
3/20/2017,74.1
3/21/2017,73.9
3/22/2017,73.7
3/23/2017,74.05
3/24/2017,74.05
3/27/2017,73.25
3/28/2017,73.5
3/29/2017,73.5
3/30/2017,73.5
3/31/2017,73.35
4/3/2017,76.75
4/4/2017,76.7
4/5/2017,77.05
4/6/2017,77.75
4/7/2017,76.75
4/10/2017,75.5
4/11/2017,75.35
4/12/2017,74.9
4/13/2017,75.55
4/17/2017,75.55
4/18/2017,75.55
4/19/2017,75.3
4/20/2017,75.6
4/21/2017,75.5
4/24/2017,75.25
4/25/2017,75.2
4/26/2017,75.35
4/27/2017,75.45
4/28/2017,75.45
5/1/2017,74.55
5/2/2017,74.3
5/3/2017,74.05
5/4/2017,73.5
5/5/2017,73.45
5/8/2017,72.65
5/9/2017,72.75
5/10/2017,73.05
5/11/2017,72.75
5/12/2017,72.75
5/15/2017,73
5/16/2017,73.4
5/17/2017,74
5/18/2017,74.1
5/19/2017,74.25
5/22/2017,74.45
5/23/2017,74.4
5/24/2017,74.35
5/25/2017,74.3
5/30/2017,77.8
5/31/2017,76.8
6/1/2017,77.25
6/2/2017,77.3
6/5/2017,78.25
6/6/2017,77.8
6/7/2017,77.9
6/8/2017,78.65
6/9/2017,78.6
6/12/2017,78.5
6/13/2017,78.45
6/14/2017,78
6/15/2017,78.4
6/16/2017,78.6
6/19/2017,79.1
6/20/2017,79
6/21/2017,79.05
6/22/2017,78.85
6/23/2017,78.9
6/26/2017,79
6/27/2017,79
6/28/2017,79
6/29/2017,79
6/30/2017,79.15
7/3/2017,80.65
7/5/2017,84.05
7/6/2017,85.65
7/7/2017,85.4
7/10/2017,84.55
7/11/2017,84.65
7/12/2017,84.3
7/13/2017,83.3
7/14/2017,83.3
7/17/2017,83.45
7/18/2017,83.55
7/19/2017,83.05
7/20/2017,83.4
7/21/2017,83.6
7/24/2017,83.35
7/25/2017,83.55
7/26/2017,83.5
7/27/2017,83.5
7/28/2017,83.45
7/31/2017,83.3
8/1/2017,82.05
8/2/2017,82.2
8/3/2017,82.9
8/4/2017,83.55
8/7/2017,84
8/8/2017,83.5
8/9/2017,84.05
8/10/2017,84.4
8/11/2017,85.1
8/14/2017,85.4
8/15/2017,84.6
8/16/2017,85.3
8/17/2017,85.95
8/18/2017,85.55
8/21/2017,85.2
8/22/2017,85.25
8/23/2017,85.25
8/24/2017,85.15
8/25/2017,85.3
8/28/2017,88.5
8/29/2017,89.55
8/30/2017,89.2
8/31/2017,87.8
9/1/2017,88.1
9/5/2017,89.2
9/6/2017,89.2
9/7/2017,89.15
9/8/2017,89.85
9/11/2017,90.05
