Date,brent
1/2/2020,65.56
1/3/2020,67.76
1/6/2020,68.07
1/7/2020,67.57
1/8/2020,64.79
1/9/2020,64.66
1/10/2020,64.25
1/13/2020,63.48
1/14/2020,63.71
1/15/2020,63.21
1/16/2020,63.81
1/17/2020,64.03
1/20/2020,64.34
1/21/2020,63.83
1/22/2020,62.45
1/23/2020,61.28
1/24/2020,59.89
1/27/2020,58.58
1/28/2020,58.81
1/29/2020,58.91
1/30/2020,57.33
1/31/2020,56.62
2/3/2020,54.61
2/4/2020,54.13
2/5/2020,55.43
2/6/2020,55.26
2/7/2020,54.8
2/10/2020,53.57
2/11/2020,54.21
2/12/2020,55.91
2/13/2020,56.38
2/14/2020,57.2
2/17/2020,57.49
2/18/2020,57.51
2/19/2020,58.72
2/20/2020,58.8
2/21/2020,57.94
2/24/2020,55.77
2/25/2020,54.26
2/26/2020,52.81
2/27/2020,51.73
2/28/2020,49.67
3/2/2020,51.75
3/3/2020,51.77
3/4/2020,51.25
3/5/2020,50.17
3/6/2020,45.52
3/9/2020,35.1
3/10/2020,38.09
3/11/2020,37.23
3/12/2020,35.2
3/13/2020,35.44
3/16/2020,31.69
3/17/2020,30.41
3/18/2020,26.69
3/19/2020,30.3
3/20/2020,29
3/23/2020,29.29
3/24/2020,29.74
3/25/2020,29.99
3/26/2020,28.65
3/27/2020,27.95
3/30/2020,26.42
3/31/2020,26.35
4/1/2020,28.04
4/2/2020,32.1
4/3/2020,35.48
4/6/2020,34.89
4/7/2020,34.49
4/8/2020,35.12
4/9/2020,34.18
4/13/2020,34.91
4/14/2020,33.57
4/15/2020,31.44
4/16/2020,31.55
4/17/2020,31.58
4/20/2020,29.21
4/21/2020,23.12
4/22/2020,24.06
4/23/2020,24.79
4/24/2020,24.81
4/27/2020,23.07
4/28/2020,22.74
4/29/2020,24.23
4/30/2020,26.48
5/1/2020,28.07
5/4/2020,28.68
5/5/2020,31.91
5/6/2020,30.6
5/7/2020,30.4
5/8/2020,32.08
5/11/2020,30.65
5/12/2020,30.81
5/13/2020,29.96
5/14/2020,31.64
5/15/2020,32.8
5/18/2020,35.05
5/19/2020,34.94
5/20/2020,36.02
5/21/2020,36.41
5/22/2020,35.66
5/25/2020,36.12
5/26/2020,36.74
5/27/2020,35.45
5/28/2020,36.03
5/29/2020,37.84
6/1/2020,38.43
6/2/2020,39.66
6/3/2020,39.97
6/4/2020,40.17
6/5/2020,42.42
6/8/2020,41
6/9/2020,41.51
6/10/2020,41.94
6/11/2020,38.88
6/12/2020,38.98
6/15/2020,39.93
6/16/2020,41.13
6/17/2020,40.77
6/18/2020,41.47
6/19/2020,42.14
6/22/2020,43.07
6/23/2020,42.73
6/24/2020,40.53
6/25/2020,41.12
6/26/2020,40.93
6/29/2020,41.85
6/30/2020,41.27
7/1/2020,42.11
7/2/2020,43.19
7/3/2020,42.91
7/6/2020,43.24
7/7/2020,43.26
7/8/2020,43.46
7/9/2020,42.55
7/10/2020,43.46
7/13/2020,42.96
7/14/2020,43.13
7/15/2020,43.93
7/16/2020,43.5
7/17/2020,43.3
7/20/2020,43.46
7/21/2020,44.55
7/22/2020,44.56
7/23/2020,43.67
7/24/2020,43.78
7/27/2020,43.9
7/28/2020,43.61
7/29/2020,44.09
7/30/2020,43.25
7/31/2020,43.52
8/3/2020,44.53
8/4/2020,44.84
8/5/2020,45.57
8/6/2020,45.46
8/7/2020,44.77
8/10/2020,45.39
8/11/2020,44.99
8/12/2020,45.91
8/13/2020,45.43
8/14/2020,45.33
8/17/2020,45.92
8/18/2020,46.01
8/19/2020,45.88
8/20/2020,45.48
8/21/2020,44.93
8/24/2020,45.64
8/25/2020,46.29
8/26/2020,46.16
8/27/2020,45.6
8/28/2020,45.81
8/31/2020,45.66
9/1/2020,46
9/2/2020,44.87
9/3/2020,44.59
9/4/2020,43.18
9/7/2020,42.54
9/8/2020,40.36
9/9/2020,41.34
9/10/2020,40.63
9/11/2020,40.43
9/14/2020,40.28
9/15/2020,41.15
9/16/2020,42.79
9/17/2020,43.82
9/18/2020,43.68
9/21/2020,41.96
9/22/2020,42.19
9/23/2020,42.26
9/24/2020,42.46
9/25/2020,42.41
9/28/2020,42.87
9/29/2020,41.56
9/30/2020,42.3
10/1/2020,41.44
10/2/2020,39.81
10/5/2020,41.82
10/6/2020,43.13
10/7/2020,42.46
10/8/2020,43.77
10/9/2020,43.32
10/12/2020,42.2
10/13/2020,42.9
10/14/2020,43.7
10/15/2020,43.52
10/16/2020,43.27
10/19/2020,42.98
10/20/2020,43.53
10/21/2020,42.07
10/22/2020,42.78
10/23/2020,42.07
10/26/2020,40.81
10/27/2020,41.61
10/28/2020,39.64
10/29/2020,38.26
10/30/2020,37.94
11/2/2020,39.46
11/3/2020,40.15
11/4/2020,41.61
11/5/2020,41.3
11/6/2020,39.84
11/9/2020,42.75
11/10/2020,43.91
11/11/2020,44.08
11/12/2020,43.79
11/13/2020,42.96
11/16/2020,43.99
11/17/2020,43.96
11/18/2020,44.49
11/19/2020,44.37
11/20/2020,45.07
11/23/2020,46.04
11/24/2020,47.78
11/25/2020,48.53
11/26/2020,47.79
11/27/2020,48.25
11/30/2020,47.88
12/1/2020,47.4
12/2/2020,48.19
12/3/2020,48.6
12/4/2020,49.19
12/7/2020,48.8
12/8/2020,48.81
12/9/2020,48.77
12/10/2020,50.12
12/11/2020,49.9
12/14/2020,50.25
12/15/2020,50.71
12/16/2020,51.06
12/17/2020,51.56
12/18/2020,52.26
12/21/2020,50.98
12/22/2020,50.16
12/23/2020,51.24
12/24/2020,51.34
12/28/2020,50.9
12/29/2020,51.23
12/30/2020,51.63
12/31/2020,51.82
1/4/2021,51.16
1/5/2021,53.54
1/6/2021,54.18
1/7/2021,54.3
1/8/2021,55.83
1/11/2021,55.59
1/12/2021,56.49
1/13/2021,56.04
1/14/2021,56.39
1/15/2021,55.13
1/18/2021,54.75
1/19/2021,55.84
1/20/2021,55.97
1/21/2021,55.98
1/22/2021,55.25
1/25/2021,55.68
1/26/2021,55.64
1/27/2021,55.53
1/28/2021,55.1
1/29/2021,55.04
2/1/2021,56.1
2/2/2021,57.2
2/3/2021,58.17
2/4/2021,58.57
2/5/2021,59.08
2/8/2021,60.27
2/9/2021,60.71
2/10/2021,61.07
2/11/2021,60.71
2/12/2021,61.88
2/15/2021,62.72
2/16/2021,62.76
2/17/2021,63.6
2/18/2021,63.15
2/19/2021,62.14
2/22/2021,64.36
2/23/2021,64.48
2/24/2021,66.18
2/25/2021,66.11
2/26/2021,64.42
3/1/2021,63.02
3/2/2021,62.18
3/3/2021,63.57
3/4/2021,66.2
3/5/2021,68.68
3/8/2021,67.7
3/9/2021,67.05
3/10/2021,67.38
3/11/2021,69
3/12/2021,68.68
3/15/2021,68.33
3/16/2021,67.87
3/17/2021,67.57
3/18/2021,63.03
3/19/2021,64.35
3/22/2021,64.52
3/23/2021,60.86
3/24/2021,64.25
3/25/2021,61.8
3/26/2021,64.43
3/29/2021,64.92
3/30/2021,64.17
3/31/2021,62.74
4/1/2021,64.46
4/5/2021,61.83
4/6/2021,62.43
4/7/2021,62.81
4/8/2021,62.71
4/9/2021,62.53
4/12/2021,62.86
4/13/2021,63.28
4/14/2021,66.15
4/15/2021,66.45
4/16/2021,66.29
4/19/2021,66.46
4/20/2021,65.92
4/21/2021,64.68
4/22/2021,64.75
4/23/2021,65.42
4/26/2021,65.03
4/27/2021,65.87
4/28/2021,66.78
4/29/2021,68.05
4/30/2021,66.76
5/3/2021,67.14
5/4/2021,68.45
5/5/2021,68.55
5/6/2021,67.72
5/7/2021,68
5/10/2021,68.09
5/11/2021,68.37
5/12/2021,69.14
5/13/2021,66.88
5/14/2021,68.38
5/17/2021,69.14
5/18/2021,68.52
5/19/2021,66.53
5/20/2021,65.07
5/21/2021,66.35
5/24/2021,68.37
5/25/2021,68.49
5/26/2021,68.73
5/27/2021,69.2
5/28/2021,68.72
5/31/2021,68.95
6/1/2021,69.85
6/2/2021,70.95
6/3/2021,70.89
6/4/2021,71.49
6/7/2021,71.11
6/8/2021,71.81
6/9/2021,71.75
6/10/2021,71.98
6/11/2021,72.11
6/14/2021,72.29
6/15/2021,73.3
6/16/2021,73.59
6/17/2021,72.29
6/18/2021,72.73
6/21/2021,74.05
6/22/2021,74.08
6/23/2021,74.5
6/24/2021,74.81
6/25/2021,75.38
6/28/2021,74.14
6/29/2021,74.28
6/30/2021,74.62
7/1/2021,74.96
7/2/2021,75.3
7/5/2021,76.17
7/6/2021,73.58
7/7/2021,72.55
7/8/2021,73.29
7/9/2021,74.74
7/12/2021,74.42
7/13/2021,75.71
7/14/2021,73.98
7/15/2021,72.77
7/16/2021,72.97
7/19/2021,68.05
7/20/2021,68.77
7/21/2021,71.63
7/22/2021,73.15
7/23/2021,73.44
7/26/2021,73.7
7/27/2021,73.52
7/28/2021,73.87
7/29/2021,75.1
7/30/2021,75.41
8/2/2021,72.2
8/3/2021,71.77
8/4/2021,69.87
8/5/2021,70.8
8/6/2021,70.32
8/9/2021,68.61
8/10/2021,70.22
8/11/2021,71.06
8/12/2021,70.91
8/13/2021,70.2
8/16/2021,69.14
8/17/2021,68.61
8/18/2021,67.77
8/19/2021,66.02
8/20/2021,64.75
8/23/2021,68.37
8/24/2021,70.41
8/25/2021,71.28
8/26/2021,70.18
8/27/2021,71.7
8/30/2021,72.23
8/31/2021,71.63
9/1/2021,71.03
9/2/2021,72.41
9/3/2021,71.98
9/6/2021,71.62
9/7/2021,71.06
9/8/2021,71.82
9/9/2021,70.79
9/10/2021,72.26
9/13/2021,72.9
9/14/2021,72.97
9/15/2021,74.78
9/16/2021,74.98
9/17/2021,74.56
9/20/2021,73.07
9/21/2021,73.57
9/22/2021,75.39
9/23/2021,76.46
9/24/2021,77.23
9/27/2021,78.72
9/28/2021,78.35
9/29/2021,78.09
9/30/2021,78.31
10/1/2021,78.53
10/4/2021,80.48
10/5/2021,81.83
10/6/2021,80.39
10/7/2021,81.27
10/8/2021,81.69
10/11/2021,82.92
10/12/2021,82.73
10/13/2021,82.56
10/14/2021,83.34
10/15/2021,84.15
10/18/2021,83.66
10/19/2021,84.36
10/20/2021,85.15
10/21/2021,83.93
10/22/2021,84.64
10/25/2021,85.17
10/26/2021,85.65
10/27/2021,83.87
10/28/2021,83.66
10/29/2021,83.72
11/1/2021,83.37
11/2/2021,83.44
11/3/2021,80.82
11/4/2021,79.51
11/5/2021,81.68
11/8/2021,82.35
11/9/2021,83.56
11/10/2021,81.55
11/11/2021,81.85
11/12/2021,81.13
11/15/2021,81.05
11/16/2021,81.42
11/17/2021,79.34
11/18/2021,80.36
11/19/2021,78.12
11/22/2021,79.03
11/23/2021,81.33
11/24/2021,81.05
11/25/2021,80.92
11/26/2021,71.59
11/29/2021,73.22
11/30/2021,69.23
12/1/2021,68.57
12/2/2021,69.32
12/3/2021,69.51
12/6/2021,72.69
12/7/2021,75.1
12/8/2021,75.59
12/9/2021,74.23
12/10/2021,74.91
12/13/2021,74.28
12/14/2021,73.63
12/15/2021,73.78
12/16/2021,74.92
12/17/2021,73.52
12/20/2021,71.57
12/21/2021,73.96
12/22/2021,75.28
12/23/2021,76.64
12/24/2021,75.79
12/27/2021,78.22
12/28/2021,78.67
12/29/2021,79.21
12/30/2021,79.53
12/31/2021,77.35
1/3/2022,78.57
1/4/2022,79.55
1/5/2022,80.19
1/6/2022,81.29
1/7/2022,81.06
1/10/2022,80.3
1/11/2022,83.08
1/12/2022,83.98
1/13/2022,83.77
1/14/2022,85.35
1/17/2022,85.77
1/18/2022,86.78
1/19/2022,87.59
1/20/2022,87.61
1/21/2022,87.08
1/24/2022,85.43
1/25/2022,87.18
1/26/2022,88.74
1/27/2022,88.17
1/28/2022,88.52
1/31/2022,89.26
2/1/2022,87.77
2/2/2022,88.12
2/3/2022,89.69
2/4/2022,91.65
2/7/2022,91.23
2/8/2022,89.38
2/9/2022,90.18
2/10/2022,90.03
2/11/2022,92.62
2/14/2022,94.41
2/15/2022,91.1
2/16/2022,92.49
2/17/2022,90.81
2/18/2022,91.39
2/21/2022,92.99
2/22/2022,93.85
2/23/2022,94.05
2/24/2022,95.42
2/25/2022,94.12
2/28/2022,97.97
3/1/2022,101.13
3/2/2022,108.29
3/3/2022,106.54
3/4/2022,114.34
3/7/2022,118.87
3/8/2022,123.48
3/9/2022,107.03
3/10/2022,105.43
3/11/2022,109.1
3/14/2022,103.4
3/15/2022,97.58
3/16/2022,95.64
3/17/2022,103.56
3/18/2022,105.07
3/21/2022,111.92
3/22/2022,111.83
3/23/2022,117.75
3/24/2022,115.3
3/25/2022,117.37
3/28/2022,109.49
3/29/2022,107.71
3/30/2022,111.44
3/31/2022,104.71
4/1/2022,102.82
4/4/2022,106
4/5/2022,105.2
4/6/2022,100.25
4/7/2022,100.05
4/8/2022,102.17
4/11/2022,98.27
4/12/2022,104.22
4/13/2022,108.08
4/14/2022,110.8
4/18/2022,111.94
4/19/2022,106.63
4/20/2022,106.33
4/21/2022,107.96
4/22/2022,106.15
4/25/2022,102.16
4/26/2022,104.61
4/27/2022,104.95
4/28/2022,107.26
4/29/2022,107.14
5/2/2022,105.97
5/3/2022,103.73
5/4/2022,108.72
5/5/2022,109.22
5/6/2022,110.84
5/9/2022,104.6
5/10/2022,101.24
5/11/2022,106.1
5/12/2022,105.99
5/13/2022,109.75
5/16/2022,112.11
5/17/2022,109.85
5/18/2022,106.93
5/19/2022,109.82
5/20/2022,109.99
5/23/2022,110.78
5/24/2022,110.69
5/25/2022,111.12
5/26/2022,114.17
5/27/2022,115.56
5/30/2022,117.6
5/31/2022,115.6
6/1/2022,113.56
6/2/2022,115.03
6/3/2022,117.03
6/6/2022,116.97
6/7/2022,118.14
6/8/2022,120.89
6/9/2022,120.3
6/10/2022,119.02
6/13/2022,119.07
6/14/2022,117.78
6/15/2022,115.47
6/16/2022,117
6/17/2022,110.39
6/20/2022,111.36
6/21/2022,111.77
6/22/2022,108.65
6/23/2022,106.46
6/24/2022,109.1
6/27/2022,110.98
6/28/2022,113.8
6/29/2022,112.45
6/30/2022,109.03
7/1/2022,107.8
7/4/2022,109.46
7/5/2022,98.99
7/6/2022,97.09
7/7/2022,100.98
7/8/2022,103.46
7/11/2022,103.65
7/12/2022,96.12
7/13/2022,96.29
7/14/2022,95.31
7/15/2022,97.15
7/18/2022,101.86
7/19/2022,102.88
7/20/2022,102.37
7/21/2022,99.48
7/22/2022,98.38
7/25/2022,100.19
7/26/2022,99.46
7/27/2022,101.67
7/28/2022,101.83
7/29/2022,103.97
8/1/2022,97.95
8/2/2022,98.64
8/3/2022,95.2
8/4/2022,92.5
8/5/2022,93.18
8/8/2022,95.12
8/9/2022,94.85
8/10/2022,96.23
8/11/2022,98.3
8/12/2022,96.9
8/15/2022,94.28
8/16/2022,91.74
8/17/2022,93.02
8/18/2022,95.76
8/19/2022,96.09
8/22/2022,95.81
8/23/2022,99.17
8/24/2022,100.34
8/25/2022,98.46
8/26/2022,99.01
8/29/2022,102.93
8/30/2022,97.84
8/31/2022,95.64
9/1/2022,91.32
9/2/2022,91.81
9/5/2022,94.4
9/6/2022,91.97
9/7/2022,87.21
9/8/2022,88.25
9/9/2022,91.71
9/12/2022,92.93
9/13/2022,92.22
9/14/2022,93.12
9/15/2022,89.61
9/16/2022,90.05
9/19/2022,90.66
9/20/2022,89.4
9/21/2022,88.8
9/22/2022,89.53
9/23/2022,85.03
9/26/2022,82.86
9/27/2022,84.87
9/28/2022,88.05
9/29/2022,87.18
9/30/2022,85.14
10/3/2022,86.94
10/4/2022,89.82
10/5/2022,91.61
10/6/2022,92.67
10/7/2022,95.89
10/10/2022,94.36
10/11/2022,92.49
10/12/2022,90.82
10/13/2022,92.92
10/14/2022,90.15
10/17/2022,90.18
10/18/2022,88.6
10/19/2022,90.56
10/20/2022,90.45
10/21/2022,91.34
10/24/2022,91.21
10/25/2022,91.74
10/26/2022,93.79
10/27/2022,95.04
10/28/2022,93.77
10/31/2022,92.81
11/1/2022,92.79
11/2/2022,94.42
11/3/2022,93.07
11/4/2022,96.9
11/7/2022,96.36
11/8/2022,93.98
11/9/2022,91.21
11/10/2022,92.09
11/11/2022,94.41
11/14/2022,91.82
11/15/2022,92.75
11/16/2022,91.65
11/17/2022,88.82
11/18/2022,87.15
11/21/2022,87.09
11/22/2022,87.7
11/23/2022,85.14
11/24/2022,85.24
11/25/2022,83.71
11/28/2022,83.89
11/29/2022,84.25
11/30/2022,86.97
12/1/2022,86.81
12/2/2022,85.55
12/5/2022,82.66
12/6/2022,79.67
12/7/2022,77.59
12/8/2022,76.59
12/9/2022,76.6
12/12/2022,78.34
12/13/2022,80.86
12/14/2022,82.75
12/15/2022,81.32
12/16/2022,79.49
12/19/2022,80.14
12/20/2022,80.53
12/21/2022,82.58
12/22/2022,81.67
12/23/2022,84.5
12/27/2022,84.68
12/28/2022,83.99
12/29/2022,83.46
12/30/2022,85.65
1/3/2023,82.12
1/4/2023,78.01
1/5/2023,78.82
1/6/2023,78.75
1/9/2023,79.89
1/10/2023,80.28
1/11/2023,82.86
1/12/2023,84.19
1/13/2023,85.55
1/16/2023,84.66
1/17/2023,86.09
1/18/2023,85.25
1/19/2023,86.31
1/20/2023,87.68
1/23/2023,88.16
1/24/2023,86.25
1/25/2023,86.19
1/26/2023,87.28
1/27/2023,86.4
1/30/2023,84.5
1/31/2023,85.46
2/1/2023,82.58
2/2/2023,82.03
2/3/2023,79.71
2/6/2023,80.71
2/7/2023,83.37
2/8/2023,84.7
2/9/2023,84.06
2/10/2023,85.99
2/13/2023,86.23
2/14/2023,85.3
2/15/2023,85.05
2/16/2023,84.8
2/17/2023,82.67
2/20/2023,83.78
2/21/2023,82.77
2/22/2023,80.45
2/23/2023,81.95
2/24/2023,82.82
2/27/2023,82.04
2/28/2023,83.45
3/1/2023,83.69
3/2/2023,84.09
3/3/2023,85.26
3/6/2023,85.62
3/7/2023,82.8
3/8/2023,82.19
3/9/2023,81.09
3/10/2023,82.16
3/13/2023,80.23
3/14/2023,77
3/15/2023,73.28
3/16/2023,74.29
3/17/2023,72.77
3/20/2023,73.54
3/21/2023,75.03
3/22/2023,76.38
3/23/2023,75.5
3/24/2023,74.59
3/27/2023,77.76
3/28/2023,78.14
3/29/2023,77.59
3/30/2023,78.6
3/31/2023,79.89
4/3/2023,84.55
4/4/2023,84.55
4/5/2023,84.62
4/6/2023,84.67
4/10/2023,83.79
4/11/2023,85.17
4/12/2023,86.75
4/13/2023,85.68
4/14/2023,85.87
4/17/2023,84.45
4/18/2023,84.45
4/19/2023,82.79
4/20/2023,80.81
4/21/2023,81.46
4/24/2023,82.54
4/25/2023,80.6
4/26/2023,77.72
4/27/2023,78.22
4/28/2023,80.33
5/1/2023,78.94
5/2/2023,75.04
5/3/2023,72.18
5/4/2023,72.32
5/5/2023,75.09
5/8/2023,76.81
5/9/2023,77.27
5/10/2023,76.27
5/11/2023,74.76
5/12/2023,73.9
5/15/2023,75.02
5/16/2023,74.72
5/17/2023,76.81
5/18/2023,75.8
5/19/2023,75.47
5/22/2023,75.87
5/23/2023,76.74
5/24/2023,78.23
5/25/2023,76.18
5/26/2023,76.98
5/29/2023,77.1
5/30/2023,73.71
5/31/2023,72.6
6/1/2023,74.21
6/2/2023,75.97
6/5/2023,76.47
6/6/2023,76.09
6/7/2023,76.84
6/8/2023,75.84
6/9/2023,74.74
6/12/2023,71.82
6/13/2023,74.21
6/14/2023,73.17
6/15/2023,75.66
6/16/2023,76.58
6/19/2023,76.06
6/20/2023,75.89
6/21/2023,77.14
6/22/2023,74.35
6/23/2023,74.01
6/26/2023,74.35
6/27/2023,72.51
6/28/2023,74.24
6/29/2023,74.51
6/30/2023,75.41
7/3/2023,74.47
7/4/2023,76.05
7/5/2023,76.41
7/6/2023,76.22
7/7/2023,78.08
7/10/2023,77.4
7/11/2023,79.07
7/12/2023,79.79
7/13/2023,80.99
7/14/2023,79.6
7/17/2023,78.38
7/18/2023,79.5
7/19/2023,79.35
7/20/2023,79.52
7/21/2023,80.88
7/24/2023,82.48
7/25/2023,83.25
7/26/2023,82.56
7/27/2023,83.79
7/28/2023,84.41
7/31/2023,85.43
8/1/2023,84.47
8/2/2023,82.81
8/3/2023,84.69
8/4/2023,85.78
8/7/2023,84.94
8/8/2023,85.67
8/9/2023,86.92
8/10/2023,85.84
8/11/2023,86.14
8/14/2023,85.51
8/15/2023,84.28
8/16/2023,83.02
8/17/2023,83.67
8/18/2023,84.36
8/21/2023,84.09
8/22/2023,83.69
8/23/2023,82.84
8/24/2023,82.92
8/25/2023,83.95
8/28/2023,83.87
8/29/2023,84.91
8/30/2023,85.24
8/31/2023,86.83
9/1/2023,87.8
9/4/2023,88.25
9/5/2023,89.35
9/6/2023,89.86
9/7/2023,89.25
9/8/2023,90.03
9/11/2023,90.04
9/12/2023,91.33
9/13/2023,91.2
9/14/2023,92.94
9/15/2023,93.04
9/18/2023,93.29
9/19/2023,93.14
9/20/2023,92.35
9/21/2023,92.26
9/22/2023,91.96
9/25/2023,91.88
9/26/2023,92.43
9/27/2023,94.36
9/28/2023,93.1
9/29/2023,92.2
10/2/2023,89.06
