Date,crude_oil
1/2/2020,65.44
1/3/2020,67.83
1/6/2020,68.28
1/7/2020,67.92
1/8/2020,66
1/9/2020,66.15
1/10/2020,66.07
1/13/2020,65.72
1/14/2020,65.84
1/15/2020,65.49
1/16/2020,65.74
1/17/2020,65.75
1/21/2020,65.59
1/22/2020,65.26
1/23/2020,64.94
1/24/2020,64.64
1/27/2020,64.37
1/28/2020,64.34
1/29/2020,64.37
1/30/2020,64.17
1/31/2020,64.29
2/3/2020,53.5
2/4/2020,53.11
2/5/2020,54.53
2/6/2020,54.36
2/7/2020,54.08
2/10/2020,53
2/11/2020,53.49
2/12/2020,54.59
2/13/2020,54.96
2/14/2020,55.34
2/18/2020,55.15
2/19/2020,55.65
2/20/2020,55.54
2/21/2020,55.27
2/24/2020,54.68
2/25/2020,54.54
2/26/2020,54.33
2/27/2020,54.25
2/28/2020,54.22
3/2/2020,50.95
3/3/2020,50.93
3/4/2020,50.48
3/5/2020,49.72
3/6/2020,45.71
3/9/2020,36.26
3/10/2020,38.14
3/11/2020,37.62
3/12/2020,36.31
3/13/2020,36.96
3/16/2020,35.45
3/17/2020,35.27
3/18/2020,33.61
3/19/2020,34.59
3/20/2020,34.05
3/23/2020,33.96
3/24/2020,33.99
3/25/2020,34.15
3/26/2020,34.07
3/27/2020,33.91
3/30/2020,33.84
3/31/2020,33.7
4/1/2020,22.46
4/2/2020,26.16
4/3/2020,29.39
4/6/2020,27.45
4/7/2020,26
4/8/2020,26.16
4/9/2020,23.26
4/13/2020,24.74
4/14/2020,21.96
4/15/2020,21.46
4/16/2020,21.71
4/17/2020,22.23
4/20/2020,21.47
4/21/2020,19.07
4/22/2020,20
4/23/2020,20.45
4/24/2020,20.45
4/27/2020,20.37
4/28/2020,20.41
4/29/2020,20.38
4/30/2020,20.39
5/1/2020,25.3
5/4/2020,26.2
5/5/2020,28.94
5/6/2020,27.35
5/7/2020,27.14
5/8/2020,28.54
5/11/2020,27.27
5/12/2020,26.81
5/13/2020,26.68
5/14/2020,29.2
5/15/2020,29.8
5/18/2020,30.55
5/19/2020,30.42
5/20/2020,30.57
5/21/2020,30.62
5/22/2020,30.34
5/26/2020,30.59
5/27/2020,30.43
5/28/2020,30.51
5/29/2020,30.47
6/1/2020,38.32
6/2/2020,39.17
6/3/2020,39.26
6/4/2020,39.15
6/5/2020,41.32
6/8/2020,40.69
6/9/2020,40.82
6/10/2020,41.52
6/11/2020,39.44
6/12/2020,39.5
6/15/2020,39.85
6/16/2020,40.28
6/17/2020,40.23
6/18/2020,40.63
6/19/2020,41.07
6/22/2020,41.12
6/23/2020,41.04
6/24/2020,40.64
6/25/2020,40.78
6/26/2020,40.81
6/29/2020,40.8
6/30/2020,40.79
7/1/2020,42.26
7/2/2020,43.2
7/6/2020,42.89
7/7/2020,43.09
7/8/2020,43.29
7/9/2020,42.79
7/10/2020,43.4
7/13/2020,43.1
7/14/2020,43.22
7/15/2020,43.78
7/16/2020,43.3
7/17/2020,43
7/20/2020,43.05
7/21/2020,43.58
7/22/2020,43.62
7/23/2020,43.3
7/24/2020,43.28
7/27/2020,43.33
7/28/2020,43.28
7/29/2020,43.29
7/30/2020,43.28
7/31/2020,42.54
8/3/2020,43.39
8/4/2020,43.4
8/5/2020,43.88
8/6/2020,43.61
8/7/2020,43.33
8/10/2020,43.78
8/11/2020,43.38
8/12/2020,43.97
8/13/2020,43.59
8/14/2020,43.39
8/17/2020,43.78
8/18/2020,43.96
8/19/2020,43.96
8/20/2020,43.78
8/21/2020,43.69
8/24/2020,43.91
8/25/2020,44
8/26/2020,43.96
8/27/2020,43.96
8/28/2020,43.94
8/31/2020,43.99
9/1/2020,44.85
9/2/2020,43.83
9/3/2020,43.61
9/4/2020,42.61
9/8/2020,40.2
9/9/2020,40.78
9/10/2020,40.25
9/11/2020,40.24
9/14/2020,40.15
9/15/2020,40.69
9/16/2020,41.58
9/17/2020,42.02
9/18/2020,42.01
9/21/2020,41.41
9/22/2020,41.5
9/23/2020,41.49
9/24/2020,41.56
9/25/2020,41.6
9/28/2020,41.62
9/29/2020,41.53
9/30/2020,41.49
10/1/2020,40.3
10/2/2020,38.48
10/5/2020,40.42
10/6/2020,41.56
10/7/2020,40.98
10/8/2020,41.88
10/9/2020,41.48
10/12/2020,40.78
10/13/2020,41.24
10/14/2020,41.78
10/15/2020,41.65
10/16/2020,41.48
10/19/2020,41.37
10/20/2020,41.59
10/21/2020,41.07
10/22/2020,41.31
10/23/2020,41.14
10/26/2020,40.89
10/27/2020,40.98
10/28/2020,40.75
10/29/2020,40.68
10/30/2020,40.66
11/2/2020,38.36
11/3/2020,39.16
11/4/2020,40.55
11/5/2020,40.14
11/6/2020,39.28
11/9/2020,41.4
11/10/2020,42.19
11/11/2020,42.36
11/12/2020,42.37
11/13/2020,41.87
11/16/2020,42.52
11/17/2020,42.49
11/18/2020,42.69
11/19/2020,42.6
11/20/2020,42.84
11/23/2020,43.08
11/24/2020,43.4
11/25/2020,43.52
11/27/2020,43.44
11/30/2020,43.39
12/1/2020,46.96
12/2/2020,47.67
12/3/2020,48.04
12/4/2020,48.35
12/7/2020,48.23
12/8/2020,48.28
12/9/2020,48.42
12/10/2020,49.29
12/11/2020,49.22
12/14/2020,49.46
12/15/2020,49.81
12/16/2020,49.96
12/17/2020,50.08
12/18/2020,50.34
12/21/2020,49.86
12/22/2020,49.57
12/23/2020,49.81
12/24/2020,49.84
12/28/2020,49.77
12/29/2020,49.78
12/30/2020,49.82
12/31/2020,49.81
1/4/2021,50.61
1/5/2021,52.84
1/6/2021,53.63
1/7/2021,53.78
1/8/2021,55.06
1/11/2021,54.78
1/12/2021,55.37
1/13/2021,54.96
1/14/2021,55.17
1/15/2021,54.53
1/19/2021,54.89
1/20/2021,54.97
1/21/2021,54.95
1/22/2021,54.76
1/25/2021,54.87
1/26/2021,54.82
1/27/2021,54.81
1/28/2021,54.76
1/29/2021,54.77
2/1/2021,55.66
2/2/2021,56.71
2/3/2021,57.69
2/4/2021,57.97
2/5/2021,58.4
2/8/2021,59.36
2/9/2021,59.63
2/10/2021,59.69
2/11/2021,59.56
2/12/2021,60.23
2/16/2021,60.6
2/17/2021,60.89
2/18/2021,60.59
2/19/2021,60.2
2/22/2021,60.62
2/23/2021,60.63
2/24/2021,60.81
2/25/2021,60.84
2/26/2021,60.85
3/1/2021,62.28
3/2/2021,61.33
3/3/2021,62.55
3/4/2021,64.8
3/5/2021,66.89
3/8/2021,65.84
3/9/2021,65.37
3/10/2021,65.54
3/11/2021,66.65
3/12/2021,66.5
3/15/2021,66.38
3/16/2021,66.05
3/17/2021,65.77
3/18/2021,63.9
3/19/2021,64.57
3/22/2021,64.71
3/23/2021,63.72
3/24/2021,64.5
3/25/2021,64.05
3/26/2021,64.43
3/29/2021,64.42
3/30/2021,64.41
3/31/2021,64.41
4/1/2021,63.27
4/5/2021,60.71
4/6/2021,60.96
4/7/2021,61.46
4/8/2021,61.47
4/9/2021,61.19
4/12/2021,61.3
4/13/2021,61.53
4/14/2021,63.26
4/15/2021,63.48
4/16/2021,63.42
4/19/2021,63.47
4/20/2021,63.23
4/21/2021,62.71
4/22/2021,62.68
4/23/2021,62.8
4/26/2021,62.62
4/27/2021,62.75
4/28/2021,62.81
4/29/2021,62.9
4/30/2021,62.89
5/3/2021,65.03
5/4/2021,66.35
5/5/2021,66.65
5/6/2021,66.01
5/7/2021,66.15
5/10/2021,66.2
5/11/2021,66.32
5/12/2021,66.77
5/13/2021,65.42
5/14/2021,66.33
5/17/2021,66.82
5/18/2021,66.64
5/19/2021,65.92
5/20/2021,65.39
5/21/2021,65.73
5/24/2021,66.26
5/25/2021,66.3
5/26/2021,66.33
5/27/2021,66.32
5/28/2021,66.28
6/1/2021,68.49
6/2/2021,69.5
6/3/2021,69.47
6/4/2021,70.03
6/7/2021,69.84
6/8/2021,70.36
6/9/2021,70.34
6/10/2021,70.52
6/11/2021,70.61
6/14/2021,70.78
6/15/2021,71.39
6/16/2021,71.56
6/17/2021,70.94
6/18/2021,71.07
6/21/2021,71.48
6/22/2021,71.41
6/23/2021,71.52
6/24/2021,71.6
6/25/2021,71.65
6/28/2021,71.54
6/29/2021,71.57
6/30/2021,71.57
7/1/2021,73.88
7/2/2021,74.23
7/6/2021,72.93
7/7/2021,72.08
7/8/2021,72.58
7/9/2021,73.72
7/12/2021,73.54
7/13/2021,74.36
7/14/2021,73.48
7/15/2021,72.83
7/16/2021,72.92
7/19/2021,71.01
7/20/2021,71.28
7/21/2021,72.28
7/22/2021,72.81
7/23/2021,72.87
7/26/2021,72.83
7/27/2021,72.81
7/28/2021,72.81
7/29/2021,72.89
7/30/2021,72.9
8/2/2021,71.37
8/3/2021,70.95
8/4/2021,69.39
8/5/2021,70.22
8/6/2021,69.74
8/9/2021,68.49
8/10/2021,69.71
8/11/2021,70.42
8/12/2021,70.44
8/13/2021,70.05
8/16/2021,69.53
8/17/2021,69.33
8/18/2021,68.95
8/19/2021,68.03
8/20/2021,67.6
