Date,lng_gas
1/2/2020,5.25
1/3/2020,5.385
1/6/2020,5.315
1/7/2020,5.3
1/8/2020,5.31
1/9/2020,5.3
1/10/2020,5.3
1/13/2020,5.3
1/14/2020,5.3
1/15/2020,5.295
1/16/2020,4.18
1/17/2020,4.13
1/21/2020,4.075
1/22/2020,4.02
1/23/2020,4
1/24/2020,4
1/27/2020,4
1/28/2020,4
1/29/2020,3.9
1/30/2020,3.875
1/31/2020,4.02
2/3/2020,3.73
2/4/2020,3.7
2/5/2020,3.6
2/6/2020,3.555
2/7/2020,3.57
2/10/2020,3.52
2/11/2020,3.525
2/12/2020,3.525
2/13/2020,3.525
2/14/2020,3.52
2/18/2020,2.975
2/19/2020,2.995
2/20/2020,2.975
2/21/2020,2.995
2/24/2020,2.875
2/25/2020,2.9
2/26/2020,3.005
2/27/2020,2.975
2/28/2020,2.96
3/2/2020,3.05
3/3/2020,3.075
3/4/2020,3.075
3/5/2020,3.085
3/6/2020,3.115
3/9/2020,3.1
3/10/2020,3.115
3/11/2020,3.13
3/12/2020,3.14
3/13/2020,3.14
3/16/2020,3.405
3/17/2020,3.455
3/18/2020,3.4
3/19/2020,3.4
3/20/2020,3.43
3/23/2020,3.25
3/24/2020,3.15
3/25/2020,2.955
3/26/2020,2.975
3/27/2020,2.975
3/30/2020,2.88
3/31/2020,2.875
4/1/2020,2.87
4/2/2020,2.86
4/3/2020,2.845
4/6/2020,2.85
4/7/2020,2.805
4/8/2020,2.81
4/9/2020,2.805
4/13/2020,2.805
4/14/2020,2.8
4/15/2020,2.795
4/16/2020,2.47
4/17/2020,2.345
4/20/2020,2.27
4/21/2020,2.105
4/22/2020,2.075
4/23/2020,2.05
4/24/2020,2.025
4/27/2020,1.995
4/28/2020,2
4/29/2020,2
4/30/2020,2.005
5/1/2020,2
5/4/2020,2
5/5/2020,2.02
5/6/2020,2.02
5/7/2020,2.025
5/8/2020,2.03
5/11/2020,2.04
5/12/2020,2.115
5/13/2020,2.115
5/14/2020,2.11
5/15/2020,2.105
5/18/2020,2.28
5/19/2020,2.215
5/20/2020,2.195
5/21/2020,2.095
5/22/2020,2.005
5/26/2020,2.1
5/27/2020,2
5/28/2020,2.02
5/29/2020,2.065
6/1/2020,2
6/2/2020,2.105
6/3/2020,2.1
6/4/2020,2.07
6/5/2020,2.07
6/8/2020,2.07
6/9/2020,2.06
6/10/2020,2.07
6/11/2020,2.07
6/12/2020,2.065
6/15/2020,2.063
6/16/2020,2.25
6/17/2020,2.2
6/18/2020,2.2
6/19/2020,2.22
6/22/2020,2.25
6/23/2020,2.3
6/24/2020,2.24
6/25/2020,2.22
6/26/2020,2.2
6/29/2020,2.2
6/30/2020,2.15
7/1/2020,2.2
7/2/2020,2.2
7/6/2020,2.195
7/7/2020,2.195
7/8/2020,2.19
7/9/2020,2.17
7/10/2020,2.175
7/13/2020,2.155
7/14/2020,2.16
7/15/2020,2.164
7/16/2020,2.5
7/17/2020,2.505
7/20/2020,2.45
7/21/2020,2.475
7/22/2020,2.5
7/23/2020,2.57
7/24/2020,2.595
7/27/2020,2.685
7/28/2020,2.7
7/29/2020,2.66
7/30/2020,2.615
7/31/2020,2.56
8/3/2020,2.685
8/4/2020,2.685
8/5/2020,2.73
8/6/2020,2.775
8/7/2020,2.785
8/10/2020,2.84
8/11/2020,2.875
8/12/2020,2.88
8/13/2020,2.885
8/14/2020,2.898
8/17/2020,4.175
8/18/2020,4.22
8/19/2020,4.09
8/20/2020,3.925
8/21/2020,3.705
8/24/2020,3.905
8/25/2020,4.025
8/26/2020,4.105
8/27/2020,3.975
8/28/2020,4.225
8/31/2020,4.225
9/1/2020,4.3
9/2/2020,4.225
9/3/2020,4.34
9/4/2020,4.225
9/8/2020,4.32
9/9/2020,4.25
9/10/2020,4.31
9/11/2020,4.31
9/14/2020,4.31
9/15/2020,4.308
9/16/2020,4.895
9/17/2020,4.845
9/18/2020,4.845
9/21/2020,4.78
9/22/2020,4.835
9/23/2020,4.95
9/24/2020,4.95
9/25/2020,4.975
9/28/2020,5.075
9/29/2020,5.1
9/30/2020,5.05
10/1/2020,5.035
10/2/2020,5.025
10/5/2020,5.05
10/6/2020,5.05
10/7/2020,5.085
10/8/2020,5.105
10/9/2020,5.135
10/12/2020,5.135
10/13/2020,5.145
10/14/2020,5.145
10/15/2020,5.146
10/16/2020,6.315
10/19/2020,6.51
10/20/2020,6.55
10/21/2020,6.725
10/22/2020,6.875
10/23/2020,7.25
10/26/2020,7.2
10/27/2020,7
10/28/2020,6.95
10/29/2020,6.925
10/30/2020,7.02
11/2/2020,6.915
11/3/2020,6.8
11/4/2020,6.855
11/5/2020,6.855
11/6/2020,6.905
11/9/2020,6.905
11/10/2020,6.905
11/11/2020,6.905
11/12/2020,6.9
11/13/2020,6.899
11/16/2020,6.75
11/17/2020,6.565
11/18/2020,6.43
11/19/2020,6.25
11/20/2020,6.375
11/23/2020,6.55
11/24/2020,6.745
11/25/2020,6.95
11/27/2020,7.15
11/30/2020,7.325
12/1/2020,7.325
12/2/2020,7.55
12/3/2020,7.5
12/4/2020,7.495
12/7/2020,7.6
12/8/2020,7.695
12/9/2020,7.82
12/10/2020,7.915
12/11/2020,8.075
12/14/2020,8.165
12/15/2020,8.173
12/16/2020,10.435
12/17/2020,10.115
12/18/2020,9.66
12/21/2020,10.05
12/22/2020,10.755
12/23/2020,10.525
12/24/2020,11
12/28/2020,11.085
12/29/2020,12.1
12/30/2020,12.795
12/31/2020,14.3
1/4/2021,14.93
1/5/2021,15.105
1/6/2021,15.55
1/7/2021,17.25
1/8/2021,17.25
1/11/2021,19.7
1/12/2021,19.7
1/13/2021,18.57
1/14/2021,18.57
1/15/2021,18.309
1/19/2021,8.52
1/20/2021,9.015
1/21/2021,8.485
1/22/2021,8.855
1/25/2021,8.61
1/26/2021,8.56
1/27/2021,8.615
1/28/2021,8.85
1/29/2021,8.87
2/1/2021,8.52
2/2/2021,8.43
2/3/2021,8.365
2/4/2021,8.34
2/5/2021,8.385
2/8/2021,8.43
2/9/2021,8.305
2/10/2021,8.28
2/11/2021,8.265
2/12/2021,8.264
2/16/2021,6.35
2/17/2021,6.305
2/18/2021,6.6
2/19/2021,6.4
2/22/2021,6.255
2/23/2021,6.23
2/24/2021,6.04
2/25/2021,5.805
2/26/2021,6.195
3/1/2021,5.925
3/2/2021,5.875
3/3/2021,5.875
3/4/2021,6
3/5/2021,6
3/8/2021,6
3/9/2021,6.01
3/10/2021,6
3/11/2021,6.055
3/12/2021,6.07
3/15/2021,6.077
3/16/2021,6.53
3/17/2021,6.65
3/18/2021,6.565
3/19/2021,6.425
3/22/2021,6.625
3/23/2021,6.855
3/24/2021,6.855
3/25/2021,6.75
3/26/2021,6.93
3/29/2021,6.865
3/30/2021,6.935
3/31/2021,7.02
4/1/2021,6.925
4/5/2021,6.925
4/6/2021,6.97
4/7/2021,6.98
4/8/2021,6.985
4/9/2021,6.985
4/12/2021,7.005
4/13/2021,7.015
4/14/2021,7.015
4/15/2021,7.017
4/16/2021,8.245
4/19/2021,8.665
4/20/2021,8.65
4/21/2021,8.55
4/22/2021,8.55
4/23/2021,8.2
4/26/2021,8.25
4/27/2021,8.6
4/28/2021,8.6
4/29/2021,8.8
4/30/2021,8.895
5/3/2021,8.905
5/4/2021,9.005
5/5/2021,8.97
5/6/2021,9.06
5/7/2021,9.045
5/10/2021,9.12
5/11/2021,9.115
5/12/2021,9.125
5/13/2021,9.125
5/17/2021,10.33
5/18/2021,9.99
5/19/2021,9.47
5/20/2021,10.05
5/21/2021,9.98
5/24/2021,10.075
5/25/2021,10.6
5/26/2021,10.625
5/27/2021,10.375
5/28/2021,10.4
6/1/2021,10.65
6/2/2021,10.625
6/3/2021,10.625
6/4/2021,10.605
6/7/2021,10.675
6/8/2021,10.85
6/9/2021,10.9
6/10/2021,10.925
6/11/2021,10.92
6/14/2021,10.92
6/15/2021,10.924
6/16/2021,11.63
6/17/2021,11.595
6/18/2021,11.87
6/21/2021,11.95
6/22/2021,12.4
6/23/2021,12.605
6/24/2021,12.625
6/25/2021,12.755
6/28/2021,12.7
6/29/2021,12.975
6/30/2021,13.11
7/1/2021,13.23
7/2/2021,13.115
7/6/2021,12.885
7/7/2021,12.685
7/8/2021,12.935
7/9/2021,13
7/12/2021,13.01
7/13/2021,12.97
7/14/2021,12.975
7/15/2021,12.973
7/16/2021,13.96
7/19/2021,14.19
7/20/2021,14.035
7/21/2021,14.31
7/22/2021,14.275
7/23/2021,14.18
7/26/2021,14.59
7/27/2021,14.805
7/28/2021,15.085
7/29/2021,15.25
7/30/2021,14.755
8/2/2021,15.465
8/3/2021,15.34
8/4/2021,15.325
8/5/2021,15.4
8/6/2021,15.7
8/9/2021,15.76
8/10/2021,15.8
8/11/2021,15.65
8/12/2021,15.665
8/13/2021,15.655
8/16/2021,17.99
8/17/2021,17.48
8/18/2021,16.77
8/19/2021,15.18
8/20/2021,15.575
8/23/2021,16.34
8/24/2021,16.85
8/25/2021,17.03
8/26/2021,17.245
8/27/2021,17.7
8/30/2021,17.72
8/31/2021,18.22
9/1/2021,18.02
9/2/2021,18.46
9/3/2021,18.46
9/7/2021,18.685
9/8/2021,18.65
9/9/2021,18.625
9/10/2021,18.65
9/13/2021,18.82
9/14/2021,18.935
9/15/2021,19.019
9/16/2021,23.42
9/17/2021,25
9/20/2021,27.185
9/21/2021,27.525
9/22/2021,26.975
9/23/2021,26.8
9/24/2021,27.495
9/27/2021,29.195
9/28/2021,29.35
9/29/2021,30.005
9/30/2021,31.095
10/1/2021,31.07
10/4/2021,31.56
10/5/2021,35.065
10/6/2021,34.05
10/7/2021,33.08
10/8/2021,32.06
10/11/2021,33.08
10/12/2021,32.9
10/13/2021,33.11
10/14/2021,33.305
10/15/2021,33.254
10/18/2021,34.34
10/19/2021,34.89
10/20/2021,35.555
10/21/2021,33.455
10/22/2021,33.255
10/25/2021,33.575
10/26/2021,34.205
10/27/2021,33.905
10/28/2021,32.01
10/29/2021,30
11/1/2021,29.205
11/2/2021,30.805
11/3/2021,32.755
11/4/2021,32.005
11/5/2021,31.62
11/8/2021,32.145
11/9/2021,31.76
11/10/2021,31.14
11/11/2021,31.415
11/12/2021,31.565
11/15/2021,31.612
11/16/2021,37.845
11/17/2021,37.285
11/18/2021,37.565
11/19/2021,34.255
11/22/2021,33.97
11/23/2021,36.075
11/24/2021,36.205
11/26/2021,34.89
11/29/2021,36.25
11/30/2021,35.945
12/1/2021,35.885
12/2/2021,35.32
12/3/2021,34.19
12/6/2021,34.395
12/7/2021,35.065
12/8/2021,35.15
12/9/2021,35.185
12/10/2021,35.215
12/13/2021,35.73
12/14/2021,35.765
12/15/2021,35.87
12/16/2021,43.445
12/17/2021,42.45
12/20/2021,45.025
12/21/2021,49.345
12/22/2021,46.015
12/23/2021,38.84
12/27/2021,40.98
12/28/2021,39.915
12/29/2021,34.03
12/30/2021,34.21
12/31/2021,30.495
1/3/2022,30.505
1/4/2022,32.745
1/5/2022,34.19
1/6/2022,34.07
1/7/2022,33.95
1/10/2022,33.265
1/11/2022,32.915
1/12/2022,33
1/13/2022,32.605
1/14/2022,32.845
1/18/2022,22.935
1/19/2022,21.14
1/20/2022,20.525
1/21/2022,22.09
1/24/2022,25.19
1/25/2022,26.005
1/26/2022,25.825
1/27/2022,25.275
1/28/2022,26.81
1/31/2022,24.71
2/1/2022,23.705
2/2/2022,24.2
2/3/2022,24.34
2/4/2022,25.35
2/7/2022,25.1
2/8/2022,25.305
2/9/2022,24.715
2/10/2022,24.795
2/11/2022,24.57
2/14/2022,24.885
2/15/2022,24.815
2/16/2022,23.075
2/17/2022,24.51
2/18/2022,23.805
2/22/2022,25.96
2/23/2022,28.965
2/24/2022,37.01
2/25/2022,27.51
2/28/2022,27.95
3/1/2022,31.5
3/2/2022,38.505
3/3/2022,43.6
3/4/2022,38.65
3/7/2022,51.765
3/8/2022,42.62
3/9/2022,38.965
3/10/2022,38.325
3/11/2022,37.145
3/14/2022,37.25
3/15/2022,37.445
3/16/2022,33.635
3/17/2022,35.555
3/18/2022,35.495
3/21/2022,34.81
3/22/2022,34.175
3/23/2022,34.12
3/24/2022,34.68
3/25/2022,34.43
3/28/2022,33.97
3/29/2022,33.875
3/30/2022,34.15
3/31/2022,35.435
4/1/2022,34.69
4/4/2022,32.95
4/5/2022,33.455
4/6/2022,33.44
4/7/2022,33.1
4/8/2022,33.605
4/11/2022,33.02
4/12/2022,32.965
4/13/2022,32.925
4/14/2022,32.93
4/18/2022,25.37
4/19/2022,25.12
4/20/2022,25.2
4/21/2022,25.29
4/22/2022,25.495
4/25/2022,25.395
4/26/2022,24.995
4/27/2022,25.145
4/28/2022,24.82
4/29/2022,24.53
5/2/2022,23.5
5/3/2022,23.5
5/4/2022,24.04
5/5/2022,24.145
5/6/2022,24.03
5/9/2022,23.155
5/10/2022,22.98
5/11/2022,23.375
5/12/2022,23.53
5/13/2022,23.433
5/16/2022,20.025
5/17/2022,20.075
5/18/2022,21.165
5/19/2022,21.79
5/20/2022,21.825
5/23/2022,22.6
5/24/2022,22.07
5/25/2022,22.22
5/26/2022,22.485
5/27/2022,22.625
5/31/2022,24.075
6/1/2022,24.015
6/2/2022,24.015
6/3/2022,24.015
6/6/2022,23.355
6/7/2022,22.87
6/8/2022,22.775
6/9/2022,23.16
6/10/2022,23.165
6/13/2022,23.035
6/14/2022,23.175
6/15/2022,23.395
6/16/2022,34.65
6/17/2022,33.955
6/21/2022,37.325
6/22/2022,37.11
6/23/2022,37.13
6/24/2022,37.095
6/27/2022,37.09
6/28/2022,37
6/29/2022,37.16
6/30/2022,38.66
7/1/2022,38.675
7/5/2022,40.095
7/6/2022,38.61
7/7/2022,39.57
7/8/2022,39.385
7/11/2022,38.84
7/12/2022,38.63
7/13/2022,39.205
7/14/2022,39.215
7/15/2022,39.081
7/18/2022,36.595
7/19/2022,37.485
7/20/2022,38.17
7/21/2022,38.095
7/22/2022,38.99
7/25/2022,39.39
7/26/2022,40.21
7/27/2022,43.13
7/28/2022,41.54
7/29/2022,42.225
8/1/2022,44.83
8/2/2022,45.28
8/3/2022,45.95
8/4/2022,44.605
8/5/2022,44.66
8/8/2022,44.47
8/9/2022,44.62
8/10/2022,44.71
8/11/2022,45.335
8/12/2022,45.39
8/15/2022,45.443
8/16/2022,56.715
8/17/2022,56.82
8/18/2022,57.6
8/19/2022,57.02
8/22/2022,57.82
8/23/2022,56.33
8/24/2022,66.255
8/25/2022,69.955
8/26/2022,68.8
8/29/2022,68.665
8/30/2022,58.745
8/31/2022,53.95
9/1/2022,59.155
9/2/2022,55.245
9/6/2022,54.69
9/7/2022,55.2
9/8/2022,52.835
9/9/2022,53.9
9/12/2022,53.125
9/13/2022,53.035
9/14/2022,53.075
9/15/2022,53.508
9/16/2022,42.16
9/19/2022,41.97
9/20/2022,43.285
9/21/2022,38.915
9/22/2022,39.91
9/23/2022,37.57
9/26/2022,37.69
9/27/2022,42.47
9/28/2022,41.205
9/29/2022,39.105
9/30/2022,38.725
10/3/2022,38.87
10/4/2022,38.195
10/5/2022,35.05
10/6/2022,35.855
10/7/2022,34.46
10/10/2022,34.26
10/11/2022,34.785
10/12/2022,34.705
10/13/2022,34.835
10/14/2022,34.779
10/17/2022,30.92
10/18/2022,29.69
10/19/2022,30.315
10/20/2022,32.35
10/21/2022,32.47
10/24/2022,31.29
10/25/2022,31.02
10/26/2022,30.45
10/27/2022,30.49
10/28/2022,30.16
10/31/2022,27.535
11/1/2022,27.54
11/2/2022,29.105
11/3/2022,27.815
11/4/2022,28.925
11/7/2022,27.195
11/8/2022,27.88
11/9/2022,27.73
11/10/2022,27.545
11/11/2022,27.225
11/14/2022,27.23
11/15/2022,27.397
