Date,newcastle_coal
1/2/2020,67.9
1/3/2020,67.5
1/6/2020,67.25
1/7/2020,67.15
1/8/2020,67.1
1/9/2020,68.95
1/10/2020,70.9
1/13/2020,72.25
1/14/2020,70.8
1/15/2020,70.5
1/16/2020,70.45
1/17/2020,70
1/20/2020,69.9
1/21/2020,69.05
1/22/2020,67.9
1/23/2020,69.1
1/24/2020,69.1
1/27/2020,69.1
1/28/2020,68.35
1/29/2020,68.6
1/30/2020,68.65
1/31/2020,68.5
2/3/2020,66.3
2/4/2020,68.55
2/5/2020,69.3
2/6/2020,69.7
2/7/2020,68.5
2/10/2020,68.1
2/11/2020,68.95
2/12/2020,68.9
2/13/2020,69.1
2/14/2020,69.45
2/17/2020,69.1
2/18/2020,68.4
2/19/2020,68.2
2/20/2020,68.6
2/21/2020,67.9
2/24/2020,68
2/25/2020,67.9
2/26/2020,67.75
2/27/2020,67.9
2/28/2020,67.4
3/2/2020,66.35
3/3/2020,66.2
3/4/2020,65.75
3/5/2020,66.4
3/6/2020,65.9
3/9/2020,65.15
3/10/2020,65.3
3/11/2020,65.65
3/12/2020,65.4
3/13/2020,65.8
3/16/2020,65.55
3/17/2020,66.05
3/18/2020,66.1
3/19/2020,66.15
3/20/2020,66.3
3/23/2020,66.05
3/24/2020,66.5
3/25/2020,66.35
3/26/2020,66.5
3/27/2020,66.65
3/30/2020,69
3/31/2020,67.85
4/1/2020,66.7
4/2/2020,66.2
4/3/2020,66.05
4/6/2020,64.15
4/7/2020,63.8
4/8/2020,62.65
4/9/2020,63.6
4/13/2020,63.6
4/14/2020,62.75
4/15/2020,62.25
4/16/2020,61.9
4/17/2020,62
4/20/2020,61.5
4/21/2020,61.25
4/22/2020,61.15
4/23/2020,60.95
4/24/2020,61.1
4/27/2020,50.5
4/28/2020,51.25
4/29/2020,51.25
4/30/2020,52.35
5/1/2020,51.25
5/4/2020,50.6
5/5/2020,50.5
5/6/2020,51.2
5/7/2020,51.15
5/8/2020,51.15
5/11/2020,51.7
5/12/2020,52
5/13/2020,52.4
5/14/2020,51.75
5/15/2020,50.95
5/18/2020,51.4
5/19/2020,51.8
5/20/2020,52.05
5/21/2020,51.9
5/22/2020,51.95
5/25/2020,51.95
5/26/2020,52.4
5/27/2020,52.5
5/28/2020,52.25
5/29/2020,52
6/1/2020,55.65
6/2/2020,55.55
6/3/2020,55.8
6/4/2020,55.2
6/5/2020,55.6
6/8/2020,54.85
6/9/2020,53.7
6/10/2020,53.05
6/11/2020,52.9
6/12/2020,53
6/15/2020,53.4
6/16/2020,53.35
6/17/2020,53.35
6/18/2020,52.95
6/19/2020,53.1
6/22/2020,53.1
6/23/2020,53
6/24/2020,52.85
6/25/2020,53.25
6/26/2020,53.5
6/29/2020,52.7
6/30/2020,52.15
7/1/2020,51.6
7/2/2020,52.6
7/3/2020,52.45
7/6/2020,52.65
7/7/2020,53
7/8/2020,52.55
7/9/2020,52.4
7/10/2020,52.4
7/13/2020,52.2
7/14/2020,52.5
7/15/2020,52.6
7/16/2020,52.35
7/17/2020,52.2
7/20/2020,52
7/21/2020,52.05
7/22/2020,52.1
7/23/2020,51.95
7/24/2020,52
7/27/2020,52.25
7/28/2020,51.8
7/29/2020,51.8
7/30/2020,51.9
7/31/2020,51.95
8/3/2020,52.6
8/4/2020,52.45
8/5/2020,51.6
8/6/2020,50.2
8/7/2020,51.2
8/10/2020,50.5
8/11/2020,49.9
8/12/2020,49.5
8/13/2020,49.9
8/14/2020,50.4
8/17/2020,50.45
8/18/2020,50.45
8/19/2020,50.25
8/20/2020,50.1
8/21/2020,49.8
8/24/2020,49.7
8/25/2020,49.75
8/26/2020,49.7
8/27/2020,49.8
8/28/2020,49.75
8/31/2020,51.95
9/1/2020,51.4
9/2/2020,50.6
9/3/2020,49.7
9/4/2020,49
9/7/2020,48.5
9/8/2020,48.75
9/9/2020,48.8
9/10/2020,49.75
9/11/2020,50.75
9/14/2020,50.75
9/15/2020,51
9/16/2020,51.5
9/17/2020,51.9
9/18/2020,52.05
9/21/2020,52.45
9/22/2020,52.7
9/23/2020,52.75
9/24/2020,52.8
9/25/2020,52.8
9/28/2020,59
9/29/2020,58.65
9/30/2020,58.6
10/1/2020,58.6
10/2/2020,57.55
10/5/2020,58.1
10/6/2020,58.1
10/7/2020,58
10/8/2020,58
10/9/2020,57.4
10/12/2020,56.85
10/13/2020,54.7
10/14/2020,55.4
10/15/2020,55.7
10/16/2020,56.3
10/19/2020,57.3
10/20/2020,57.8
10/21/2020,57.75
10/22/2020,58
10/23/2020,58
10/26/2020,58
10/27/2020,58.15
10/28/2020,58.2
10/29/2020,58.2
10/30/2020,58.2
11/2/2020,59.9
11/3/2020,60.55
11/4/2020,60.6
11/5/2020,61.45
11/6/2020,61.65
11/9/2020,62.05
11/10/2020,62.3
11/11/2020,62.3
11/12/2020,62.3
11/13/2020,62.25
11/16/2020,62.3
11/17/2020,62.4
11/18/2020,62.45
