Date,S&PSEA40INDEX
1/3/2020 0:00,540.4
1/6/2020 0:00,534.73
1/7/2020 0:00,540.98
1/8/2020 0:00,532.7
1/9/2020 0:00,539.42
1/10/2020 0:00,540.22
1/13/2020 0:00,543.06
1/14/2020 0:00,543.82
1/15/2020 0:00,539.2
1/16/2020 0:00,541.89
1/17/2020 0:00,543.69
1/20/2020 0:00,539.33
1/21/2020 0:00,536.45
1/22/2020 0:00,534.75
1/23/2020 0:00,536.61
1/24/2020 0:00,536.97
1/27/2020 0:00,529
1/28/2020 0:00,522.6
1/29/2020 0:00,524.58
1/30/2020 0:00,518.52
1/31/2020 0:00,510.88
2/3/2020 0:00,504.14
2/4/2020 0:00,512.56
2/5/2020 0:00,516.26
2/6/2020 0:00,521.26
2/7/2020 0:00,519.41
2/10/2020 0:00,515.37
2/11/2020 0:00,516.46
2/12/2020 0:00,516.64
2/13/2020 0:00,514.3
2/14/2020 0:00,512.41
2/17/2020 0:00,512.93
2/18/2020 0:00,511
2/19/2020 0:00,512.96
2/20/2020 0:00,510.07
2/21/2020 0:00,508
2/24/2020 0:00,491.68
2/25/2020 0:00,493.09
2/26/2020 0:00,480.31
2/27/2020 0:00,479.01
2/28/2020 0:00,465.74
3/2/2020 0:00,460.26
3/3/2020 0:00,472.59
3/4/2020 0:00,480.64
3/5/2020 0:00,481.65
3/6/2020 0:00,468.71
3/9/2020 0:00,432.84
3/10/2020 0:00,439.54
3/11/2020 0:00,436.84
3/12/2020 0:00,407.46
3/13/2020 0:00,401.39
3/16/2020 0:00,373.62
3/17/2020 0:00,359.58
3/18/2020 0:00,352.14
3/19/2020 0:00,331.76
3/20/2020 0:00,347.46
3/23/2020 0:00,324.13
3/24/2020 0:00,329.82
3/25/2020 0:00,341.24
3/26/2020 0:00,363.53
3/27/2020 0:00,373.49
3/30/2020 0:00,359.95
3/31/2020 0:00,370.31
4/1/2020 0:00,362.94
4/2/2020 0:00,364.71
4/3/2020 0:00,368.14
4/6/2020 0:00,375.25
4/7/2020 0:00,385.19
4/8/2020 0:00,378.14
4/9/2020 0:00,380.24
4/10/2020 0:00,382.42
4/13/2020 0:00,380.36
4/14/2020 0:00,386.8
4/15/2020 0:00,386.3
4/16/2020 0:00,372.29
4/17/2020 0:00,387.79
4/20/2020 0:00,388.14
4/21/2020 0:00,379.18
4/22/2020 0:00,380.38
4/23/2020 0:00,382.93
4/24/2020 0:00,374.72
4/27/2020 0:00,377.04
4/28/2020 0:00,377.17
4/29/2020 0:00,381.82
4/30/2020 0:00,399.53
5/4/2020 0:00,388.87
5/5/2020 0:00,391.75
5/6/2020 0:00,390.16
5/7/2020 0:00,389.07
5/8/2020 0:00,390.37
5/11/2020 0:00,393.84
5/12/2020 0:00,390.98
5/13/2020 0:00,389.59
5/14/2020 0:00,385.04
5/15/2020 0:00,381.47
5/18/2020 0:00,381.58
5/19/2020 0:00,388.75
5/20/2020 0:00,392.38
5/21/2020 0:00,393.34
5/22/2020 0:00,387.51
5/25/2020 0:00,387.85
5/26/2020 0:00,392.49
5/27/2020 0:00,394.82
5/28/2020 0:00,397.97
5/29/2020 0:00,406.41
6/1/2020 0:00,410.46
6/2/2020 0:00,422.29
6/3/2020 0:00,437.37
6/4/2020 0:00,445.65
6/5/2020 0:00,449.91
6/8/2020 0:00,453.76
6/9/2020 0:00,451.32
6/10/2020 0:00,446.84
6/11/2020 0:00,440.62
6/12/2020 0:00,437.62
6/15/2020 0:00,423.86
6/16/2020 0:00,436.05
6/17/2020 0:00,436.81
6/18/2020 0:00,433.52
6/19/2020 0:00,432.72
6/22/2020 0:00,430.45
6/23/2020 0:00,428.28
6/24/2020 0:00,429.68
6/25/2020 0:00,425.8
6/26/2020 0:00,426.2
6/29/2020 0:00,425.41
6/30/2020 0:00,426.41
7/1/2020 0:00,427.88
7/2/2020 0:00,434.15
7/3/2020 0:00,432.99
7/6/2020 0:00,435.19
7/7/2020 0:00,434.93
7/8/2020 0:00,438.36
7/9/2020 0:00,436.74
7/10/2020 0:00,433.63
7/13/2020 0:00,434.16
7/14/2020 0:00,434.13
7/15/2020 0:00,431.79
7/16/2020 0:00,431.35
7/17/2020 0:00,430.18
7/20/2020 0:00,426.85
7/21/2020 0:00,431.74
7/22/2020 0:00,429.8
7/23/2020 0:00,432.6
7/24/2020 0:00,426.51
7/27/2020 0:00,427.44
7/28/2020 0:00,429.89
7/29/2020 0:00,428.13
7/30/2020 0:00,426.29
7/31/2020 0:00,428.58
8/3/2020 0:00,416.04
8/4/2020 0:00,420.08
8/5/2020 0:00,423.06
8/6/2020 0:00,427.15
8/7/2020 0:00,423.06
8/10/2020 0:00,423.49
8/11/2020 0:00,426.25
8/12/2020 0:00,430.98
8/13/2020 0:00,436.03
8/14/2020 0:00,433.28
8/17/2020 0:00,434.16
8/18/2020 0:00,435.23
8/19/2020 0:00,430.63
8/20/2020 0:00,428.38
8/21/2020 0:00,427.44
8/24/2020 0:00,426.81
8/25/2020 0:00,431.23
8/26/2020 0:00,429.67
8/27/2020 0:00,431.45
8/28/2020 0:00,427.03
8/31/2020 0:00,422.71
9/1/2020 0:00,424.99
9/2/2020 0:00,425.12
9/3/2020 0:00,421.63
9/4/2020 0:00,420.42
9/7/2020 0:00,421.91
9/8/2020 0:00,423.73
9/9/2020 0:00,416.8
9/10/2020 0:00,410.59
9/11/2020 0:00,411.81
9/14/2020 0:00,415.71
9/15/2020 0:00,417.83
9/16/2020 0:00,416.09
9/17/2020 0:00,413.42
9/18/2020 0:00,412.63
9/21/2020 0:00,410.76
9/22/2020 0:00,405.22
9/23/2020 0:00,401.01
9/24/2020 0:00,393.7
9/25/2020 0:00,397.33
9/28/2020 0:00,396.81
9/29/2020 0:00,394.9
9/30/2020 0:00,392.51
10/1/2020 0:00,398.78
10/2/2020 0:00,395.2
10/5/2020 0:00,397.49
10/6/2020 0:00,402.57
10/7/2020 0:00,400.75
10/8/2020 0:00,406.89
10/9/2020 0:00,408.55
10/12/2020 0:00,408.46
10/13/2020 0:00,408.51
10/14/2020 0:00,407.76
10/15/2020 0:00,404.08
10/16/2020 0:00,400.76
10/19/2020 0:00,403.67
10/20/2020 0:00,403.31
10/21/2020 0:00,405.94
10/22/2020 0:00,406.23
10/23/2020 0:00,408.06
10/26/2020 0:00,408.39
10/27/2020 0:00,407.06
10/28/2020 0:00,406.56
10/29/2020 0:00,404.59
10/30/2020 0:00,402.63
11/2/2020 0:00,403.18
11/3/2020 0:00,406.93
11/4/2020 0:00,407.2
11/5/2020 0:00,424.95
11/6/2020 0:00,433.78
11/9/2020 0:00,439.94
11/10/2020 0:00,467.9
11/11/2020 0:00,471.51
11/12/2020 0:00,468.1
11/13/2020 0:00,468.15
11/16/2020 0:00,472.37
11/17/2020 0:00,477.5
11/18/2020 0:00,480.43
11/19/2020 0:00,475.54
11/20/2020 0:00,479.24
11/23/2020 0:00,483.55
11/24/2020 0:00,481.85
11/25/2020 0:00,483.12
11/26/2020 0:00,486.9
11/27/2020 0:00,483.79
11/30/2020 0:00,467.93
12/1/2020 0:00,481.34
12/2/2020 0:00,485.15
12/3/2020 0:00,490.23
12/4/2020 0:00,489.55
12/7/2020 0:00,493.68
12/8/2020 0:00,494.71
12/9/2020 0:00,497.21
12/10/2020 0:00,499.63
12/11/2020 0:00,507.06
12/14/2020 0:00,506.22
12/15/2020 0:00,507.54
12/16/2020 0:00,512.37
12/17/2020 0:00,512
12/18/2020 0:00,506.15
12/21/2020 0:00,498.31
12/22/2020 0:00,492.93
12/23/2020 0:00,491.53
12/24/2020 0:00,492.77
12/25/2020 0:00,493.91
12/28/2020 0:00,494.25
12/29/2020 0:00,494.54
12/30/2020 0:00,494.23
12/31/2020 0:00,493.73
1/4/2021 0:00,498.09
1/5/2021 0:00,499.85
1/6/2021 0:00,494.95
1/7/2021 0:00,498.21
1/8/2021 0:00,506.92
1/11/2021 0:00,507.57
1/12/2021 0:00,504.51
1/13/2021 0:00,511.57
1/14/2021 0:00,510.13
1/15/2021 0:00,505.23
1/18/2021 0:00,502.27
1/19/2021 0:00,501.49
1/20/2021 0:00,504.48
1/21/2021 0:00,504.29
1/22/2021 0:00,500.04
1/25/2021 0:00,498.5
1/26/2021 0:00,493.49
1/27/2021 0:00,491.44
1/28/2021 0:00,487.02
1/29/2021 0:00,476.3
2/1/2021 0:00,484.79
2/2/2021 0:00,485.67
2/3/2021 0:00,486.01
2/4/2021 0:00,487.79
2/5/2021 0:00,489.05
2/8/2021 0:00,490.69
2/9/2021 0:00,493.34
2/10/2021 0:00,496.8
2/11/2021 0:00,494.95
2/15/2021 0:00,497.12
2/16/2021 0:00,499.18
2/17/2021 0:00,493.27
2/18/2021 0:00,486.46
2/19/2021 0:00,488.15
2/22/2021 0:00,482.37
2/23/2021 0:00,485.67
2/24/2021 0:00,481.9
2/25/2021 0:00,484.14
2/26/2021 0:00,479.94
3/1/2021 0:00,484.42
3/2/2021 0:00,485.62
3/3/2021 0:00,492.26
3/4/2021 0:00,485.9
3/5/2021 0:00,487.75
3/8/2021 0:00,485.85
3/9/2021 0:00,483.07
3/10/2021 0:00,488.16
3/11/2021 0:00,487.76
3/12/2021 0:00,487.43
3/15/2021 0:00,483.63
3/16/2021 0:00,484.08
3/17/2021 0:00,481.61
3/18/2021 0:00,486.53
3/19/2021 0:00,481.95
3/22/2021 0:00,478.36
3/23/2021 0:00,476.24
3/24/2021 0:00,474.64
3/25/2021 0:00,474.35
3/26/2021 0:00,476.06
3/29/2021 0:00,477.98
3/30/2021 0:00,474.64
3/31/2021 0:00,464.94
4/1/2021 0:00,465.45
4/2/2021 0:00,466.9
4/5/2021 0:00,463.68
4/6/2021 0:00,465.06
4/7/2021 0:00,468.1
4/8/2021 0:00,465.31
4/9/2021 0:00,467.65
4/12/2021 0:00,461.87
4/13/2021 0:00,459.56
4/14/2021 0:00,465.7
4/15/2021 0:00,468.8
4/16/2021 0:00,469.1
4/19/2021 0:00,468.2
4/20/2021 0:00,470.87
4/21/2021 0:00,465.98
4/22/2021 0:00,467.15
4/23/2021 0:00,467.56
4/26/2021 0:00,467.56
4/27/2021 0:00,465.73
4/28/2021 0:00,466.65
4/29/2021 0:00,470.78
4/30/2021 0:00,467.81
5/3/2021 0:00,465.17
5/4/2021 0:00,465.88
5/5/2021 0:00,461.15
5/6/2021 0:00,462.12
5/7/2021 0:00,463.13
5/10/2021 0:00,464.8
5/11/2021 0:00,463.75
5/12/2021 0:00,460.86
5/13/2021 0:00,459.52
5/14/2021 0:00,460.25
5/17/2021 0:00,458.37
5/18/2021 0:00,457.9
5/19/2021 0:00,454.86
5/20/2021 0:00,453.48
5/21/2021 0:00,451.82
5/24/2021 0:00,452.08
5/25/2021 0:00,453.99
5/26/2021 0:00,456.1
5/27/2021 0:00,463.01
5/28/2021 0:00,463.93
5/31/2021 0:00,466.76
6/1/2021 0:00,470.04
6/2/2021 0:00,475.09
6/3/2021 0:00,476.4
6/4/2021 0:00,472.61
6/7/2021 0:00,472.15
6/8/2021 0:00,472.18
6/9/2021 0:00,474.94
6/10/2021 0:00,476.63
6/11/2021 0:00,477.67
6/14/2021 0:00,476.06
6/15/2021 0:00,474.89
