Date,S&PSEA40INDEX
1/2/2020,460.34
1/3/2020,458.77
1/6/2020,462.34
1/7/2020,461.39
1/8/2020,453.36
1/9/2020,456.79
1/10/2020,453.87
1/13/2020,454.25
1/14/2020,454.26
1/15/2020,451.21
1/16/2020,451.74
1/17/2020,448.77
1/21/2020,440.32
1/22/2020,436.39
1/23/2020,434.81
1/24/2020,429.71
1/27/2020,417.87
1/28/2020,419.59
1/29/2020,415.12
1/30/2020,418.79
1/31/2020,405.45
2/3/2020,400.02
2/4/2020,400.81
2/5/2020,415.97
2/6/2020,411.64
2/7/2020,408.55
2/10/2020,405.24
2/11/2020,409.47
2/12/2020,415.03
2/13/2020,413.15
2/14/2020,409.82
2/18/2020,406.42
2/19/2020,411.79
2/20/2020,411.11
2/21/2020,405.93
2/24/2020,386.7
2/25/2020,369.92
2/26/2020,358.94
2/27/2020,339.3
2/28/2020,343.53
3/2/2020,353.68
3/3/2020,342.64
3/4/2020,350.25
3/5/2020,337.59
3/6/2020,318.64
3/9/2020,254.65
3/10/2020,267.37
3/11/2020,252.77
3/12/2020,221.69
3/13/2020,241.29
3/16/2020,208.41
3/17/2020,209.92
3/18/2020,179.94
3/19/2020,192.08
3/20/2020,193.93
3/23/2020,181.03
3/24/2020,210.56
3/25/2020,220.02
3/26/2020,233.76
3/27/2020,217.56
3/30/2020,219.81
3/31/2020,223.4
4/1/2020,213.04
4/2/2020,232.37
4/3/2020,229.26
4/6/2020,241.07
4/7/2020,245.9
4/8/2020,262.46
4/9/2020,259.63
4/13/2020,258.57
4/14/2020,257.37
4/15/2020,245.34
4/16/2020,235.59
4/17/2020,260.17
4/20/2020,251.6
4/21/2020,247.38
4/22/2020,256.24
4/23/2020,263.96
4/24/2020,264.51
4/27/2020,270.07
4/28/2020,275.99
4/29/2020,296.28
4/30/2020,289.65
5/1/2020,272.28
5/4/2020,282.38
5/5/2020,283.12
5/6/2020,275.67
5/7/2020,282.49
5/8/2020,294.75
5/11/2020,289.78
5/12/2020,282.93
5/13/2020,270.52
5/14/2020,273.07
5/15/2020,272.31
5/18/2020,292.87
5/19/2020,284.4
5/20/2020,295.26
5/21/2020,290.88
5/22/2020,288.94
5/26/2020,297.34
5/27/2020,300.79
5/28/2020,292.04
5/29/2020,291.59
6/1/2020,296.5
6/2/2020,304.37
6/3/2020,313.65
6/4/2020,313.17
6/5/2020,336.52
6/8/2020,351.06
6/9/2020,338.46
6/10/2020,321.81
6/11/2020,291.39
6/12/2020,299.28
6/15/2020,299.54
6/16/2020,307.99
6/17/2020,297.89
6/18/2020,301.45
6/19/2020,296.4
6/22/2020,298.27
6/23/2020,298.5
6/24/2020,281.97
6/25/2020,287.39
6/26/2020,277.3
6/29/2020,281.26
6/30/2020,287.46
7/1/2020,280.3
7/2/2020,283.46
7/6/2020,284.51
7/7/2020,275.46
7/8/2020,275.17
7/9/2020,261.81
7/10/2020,270.32
7/13/2020,268.87
7/14/2020,278.56
7/15/2020,284.02
7/16/2020,282.57
7/17/2020,278.27
7/20/2020,273.46
7/21/2020,290.28
7/22/2020,286.39
7/23/2020,285.79
7/24/2020,284.11
7/27/2020,284.71
7/28/2020,279.73
7/29/2020,285.7
7/30/2020,273.99
7/31/2020,272.09
8/3/2020,272.81
8/4/2020,279.51
8/5/2020,282.46
8/6/2020,280.45
8/7/2020,280.59
8/10/2020,289.24
8/11/2020,288.55
8/12/2020,290.07
8/13/2020,284.31
8/14/2020,286.99
8/17/2020,285.18
8/18/2020,280.29
8/19/2020,277.05
8/20/2020,271.15
8/21/2020,269.45
8/24/2020,276.87
8/25/2020,272.94
8/26/2020,266.85
8/27/2020,267.52
8/28/2020,272.48
8/31/2020,266.5
9/1/2020,264.05
9/2/2020,262.95
9/3/2020,261.18
9/4/2020,260.32
9/8/2020,250.67
9/9/2020,252.21
9/10/2020,242.96
9/11/2020,243.58
9/14/2020,245.09
9/15/2020,243.22
9/16/2020,253.06
9/17/2020,253.58
9/18/2020,250.65
9/21/2020,242.45
9/22/2020,239.96
9/23/2020,229.05
9/24/2020,229.24
9/25/2020,229.09
9/28/2020,234.42
9/29/2020,228.03
9/30/2020,227.49
10/1/2020,220.36
10/2/2020,222.55
10/5/2020,229.05
10/6/2020,225.56
10/7/2020,228.82
10/8/2020,237.46
10/9/2020,233.68
10/12/2020,234.41
10/13/2020,230.76
10/14/2020,231.47
10/15/2020,234.18
10/16/2020,228.78
10/19/2020,223.97
10/20/2020,226.51
10/21/2020,222.01
10/22/2020,231.24
10/23/2020,229.96
10/26/2020,221.99
10/27/2020,218.92
10/28/2020,209.69
10/29/2020,216.41
10/30/2020,216.82
11/2/2020,224.77
11/3/2020,223.09
11/4/2020,223.45
11/5/2020,223.36
11/6/2020,218.58
11/9/2020,249.67
11/10/2020,255.97
11/11/2020,253.82
11/12/2020,245.21
11/13/2020,254.55
11/16/2020,271.09
11/17/2020,272.44
11/18/2020,264.6
11/19/2020,268.65
11/20/2020,267.24
11/23/2020,286.18
11/24/2020,300.95
11/25/2020,293.66
11/27/2020,289.99
11/30/2020,274.42
12/1/2020,275.62
12/2/2020,284.3
12/3/2020,287.34
12/4/2020,302.94
12/7/2020,295.55
12/8/2020,300.19
12/9/2020,301.14
12/10/2020,309.95
12/11/2020,306.38
12/14/2020,295.55
12/15/2020,301.23
12/16/2020,300.04
12/17/2020,298.33
12/18/2020,293.33
12/21/2020,288.06
12/22/2020,283.04
12/23/2020,289.2
12/24/2020,287.38
12/28/2020,285.82
12/29/2020,283.93
12/30/2020,288.48
12/31/2020,286.14
1/4/2021,286.5
1/5/2021,299.49
1/6/2021,308.45
1/7/2021,313.06
1/8/2021,312.78
1/11/2021,317.86
1/12/2021,328.98
1/13/2021,326.33
1/14/2021,336.14
1/15/2021,322.58
1/19/2021,329.3
1/20/2021,330.47
1/21/2021,319.12
1/22/2021,317.54
1/25/2021,314.17
1/26/2021,307.5
1/27/2021,303.22
1/28/2021,306.92
1/29/2021,296.52
2/1/2021,298.59
2/2/2021,301.85
2/3/2021,314.75
2/4/2021,318.16
2/5/2021,321.1
2/8/2021,334.5
2/9/2021,329.41
2/10/2021,335.48
2/11/2021,330.36
2/12/2021,334.99
2/16/2021,342.57
2/17/2021,347.55
2/18/2021,339.66
2/19/2021,345.23
2/22/2021,357.22
2/23/2021,362.97
2/24/2021,376.2
2/25/2021,368.66
2/26/2021,360.19
3/1/2021,369.47
3/2/2021,367.31
3/3/2021,372.55
3/4/2021,381.76
3/5/2021,396.54
3/8/2021,397.13
3/9/2021,389.54
3/10/2021,399.8
3/11/2021,400.11
3/12/2021,400.82
3/15/2021,395.81
3/16/2021,384.62
3/17/2021,388.23
3/18/2021,370.06
3/19/2021,370.11
3/22/2021,366.39
3/23/2021,361.4
3/24/2021,370.51
3/25/2021,371.44
3/26/2021,381.18
3/29/2021,376.37
3/30/2021,373.35
3/31/2021,369.89
4/1/2021,379.71
4/5/2021,370.57
4/6/2021,369.6
4/7/2021,371.23
4/8/2021,366.17
4/9/2021,364.35
4/12/2021,360.91
4/13/2021,361.26
4/14/2021,371.78
4/15/2021,368.5
4/16/2021,365.19
4/19/2021,364.98
4/20/2021,355.26
4/21/2021,360.5
4/22/2021,355.42
4/23/2021,358.74
4/26/2021,361.03
4/27/2021,365.57
4/28/2021,377.8
4/29/2021,381.98
4/30/2021,371.6
5/3/2021,382.43
5/4/2021,382.51
5/5/2021,395.24
5/6/2021,397.15
5/7/2021,404.65
5/10/2021,404.45
5/11/2021,394.09
5/12/2021,394.33
5/13/2021,389.01
5/14/2021,401.29
5/17/2021,410.53
5/18/2021,399.72
5/19/2021,389.63
5/20/2021,389.17
5/21/2021,389.91
5/24/2021,393.76
5/25/2021,385.73
5/26/2021,389.32
5/27/2021,389.54
5/28/2021,389.82
6/1/2021,405.14
6/2/2021,412.19
6/3/2021,413.47
6/4/2021,415.85
6/7/2021,414.25
6/8/2021,417.89
6/9/2021,415.56
6/10/2021,415.02
6/11/2021,413.47
6/14/2021,411.85
6/15/2021,420.34
6/16/2021,418.31
6/17/2021,403.71
6/18/2021,391.92
6/21/2021,408.73
6/22/2021,411.46
6/23/2021,412.55
6/24/2021,416.07
6/25/2021,418.03
6/28/2021,404.13
6/29/2021,402.1
6/30/2021,407.37
7/1/2021,414.36
7/2/2021,413.52
7/6/2021,400.28
7/7/2021,393.37
7/8/2021,391.55
7/9/2021,399.42
7/12/2021,398.98
7/13/2021,396.15
7/14/2021,384.51
7/15/2021,379.08
7/16/2021,368.6
7/19/2021,355.36
7/20/2021,360.26
7/21/2021,372.98
7/22/2021,368.77
7/23/2021,367.17
7/26/2021,376.34
7/27/2021,372.54
7/28/2021,376.15
7/29/2021,379.67
7/30/2021,372.99
8/2/2021,370.33
8/3/2021,377.11
8/4/2021,366.06
8/5/2021,370.75
8/6/2021,374.19
8/9/2021,368.66
8/10/2021,375
8/11/2021,377.82
8/12/2021,375.97
8/13/2021,371.14
8/16/2021,364.35
8/17/2021,361
8/18/2021,352.34
8/19/2021,342.99
8/20/2021,343.95
8/23/2021,356.92
8/24/2021,362.68
8/25/2021,365.28
8/26/2021,359.77
8/27/2021,369.21
8/30/2021,364.92
8/31/2021,362.26
9/1/2021,356.8
9/2/2021,365.82
9/3/2021,363.88
9/7/2021,361.8
9/8/2021,357.11
9/9/2021,357.55
9/10/2021,357.39
9/13/2021,367.9
9/14/2021,362.2
9/15/2021,376.02
9/16/2021,372.04
9/17/2021,369.23
9/20/2021,358
9/21/2021,359.34
9/22/2021,370.71
9/23/2021,383.35
9/24/2021,386.57
9/27/2021,399.83
9/28/2021,401.67
9/29/2021,401.66
9/30/2021,395.88
10/1/2021,408.94
10/4/2021,415.6
10/5/2021,418
10/6/2021,413.6
10/7/2021,416.45
10/8/2021,429.46
10/11/2021,427.71
10/12/2021,427.6
10/13/2021,427.19
10/14/2021,432.43
10/15/2021,434.44
10/18/2021,434.89
10/19/2021,439.87
10/20/2021,443.53
10/21/2021,435.5
10/22/2021,439.56
10/25/2021,445.91
10/26/2021,448.94
10/27/2021,436.1
10/28/2021,439.12
10/29/2021,436.19
11/1/2021,443.11
11/2/2021,438.65
11/3/2021,434.99
11/4/2021,435.83
11/5/2021,442
11/8/2021,445.91
11/9/2021,447.67
11/10/2021,434.38
11/11/2021,435.73
11/12/2021,434.6
11/15/2021,438.21
11/16/2021,438.62
11/17/2021,430.97
11/18/2021,428.66
11/19/2021,411.91
11/22/2021,419.38
11/23/2021,432.14
11/24/2021,436.37
11/26/2021,418.74
11/29/2021,421.22
11/30/2021,410.7
12/1/2021,406.82
12/2/2021,418.41
12/3/2021,415.28
12/6/2021,421.64
12/7/2021,431.24
12/8/2021,431.28
12/9/2021,427.37
12/10/2021,430.61
12/13/2021,418.67
12/14/2021,417.09
12/15/2021,415.33
12/16/2021,418.06
12/17/2021,408.68
12/20/2021,403.9
12/21/2021,415.57
12/22/2021,417.96
12/23/2021,418.37
12/27/2021,427.74
12/28/2021,427.25
12/29/2021,424.55
12/30/2021,421.68
12/31/2021,422.74
1/3/2022,435.83
1/4/2022,450.9
1/5/2022,450.57
1/6/2022,460.89
1/7/2022,467.58
1/10/2022,466.32
1/11/2022,482.24
1/12/2022,483.15
1/13/2022,480.24
1/14/2022,491.98
1/18/2022,493.97
1/19/2022,490.72
1/20/2022,486.31
1/21/2022,476.81
1/24/2022,479.43
1/25/2022,498.42
1/26/2022,497.56
1/27/2022,503.75
1/28/2022,500.72
1/31/2022,502.93
2/1/2022,520.75
2/2/2022,522.72
2/3/2022,517.29
2/4/2022,525.45
2/7/2022,532.31
2/8/2022,521.01
2/9/2022,523.67
2/10/2022,520.12
2/11/2022,534.65
2/14/2022,522.66
2/15/2022,515.42
2/16/2022,519.34
2/17/2022,518.9
2/18/2022,514.82
2/22/2022,506.95
2/23/2022,512.09
2/24/2022,507.64
2/25/2022,521.54
2/28/2022,534.95
3/1/2022,540.47
3/2/2022,552.49
3/3/2022,554
3/4/2022,569.81
3/7/2022,578.73
3/8/2022,586.75
3/9/2022,568.1
3/10/2022,585.53
3/11/2022,580.55
