Date,S&PSEA40INDEX
1/3/2017,431.02
1/4/2017,435.67
1/5/2017,442.03
1/6/2017,445.2
1/9/2017,441.74
1/10/2017,445.21
1/11/2017,443.65
1/12/2017,443.21
1/13/2017,442.42
1/16/2017,440.34
1/17/2017,439.53
1/18/2017,441.98
1/19/2017,442.18
1/20/2017,440.36
1/23/2017,443.2
1/24/2017,446.64
1/25/2017,445.58
1/26/2017,449.24
1/27/2017,447.89
1/30/2017,447.93
1/31/2017,443.87
2/1/2017,445.51
2/2/2017,446.13
2/3/2017,448.63
2/6/2017,452.75
2/7/2017,450.71
2/8/2017,449.24
2/9/2017,448.76
2/10/2017,447.93
2/13/2017,450.92
2/14/2017,447.8
2/15/2017,448.19
2/16/2017,448.79
2/17/2017,447.36
2/20/2017,447.95
2/21/2017,446.81
2/22/2017,449.5
2/23/2017,448.62
2/24/2017,447.96
2/27/2017,446.3
2/28/2017,447.01
3/1/2017,446.37
3/2/2017,449.05
3/3/2017,448.03
3/6/2017,451.46
3/7/2017,451.36
3/8/2017,451
3/9/2017,449.37
3/10/2017,446.64
3/13/2017,450.17
3/14/2017,451.55
3/15/2017,450.77
3/16/2017,459.27
3/17/2017,461.98
3/20/2017,463.85
3/21/2017,465.14
3/22/2017,463.31
3/23/2017,465.28
3/24/2017,465.21
3/27/2017,465.23
3/28/2017,467.21
3/29/2017,467.67
3/30/2017,467.73
3/31/2017,465.05
4/3/2017,468.08
4/4/2017,470.38
4/5/2017,472.11
4/6/2017,471.78
4/7/2017,470.98
4/10/2017,471.75
4/11/2017,471.31
4/12/2017,474.13
4/13/2017,473.16
4/14/2017,472.71
4/17/2017,469.47
4/18/2017,470.42
4/19/2017,469.74
4/20/2017,471.27
4/21/2017,477.87
4/24/2017,477.41
4/25/2017,481.53
4/26/2017,485.16
4/27/2017,481.78
4/28/2017,480.37
5/2/2017,484.57
5/3/2017,483.4
5/4/2017,484.6
5/5/2017,485.53
5/8/2017,489.41
5/9/2017,487.23
5/10/2017,484.58
5/11/2017,485.76
5/12/2017,486.58
5/15/2017,488.6
5/16/2017,487.41
5/17/2017,485.82
5/18/2017,484.16
5/19/2017,489.75
5/22/2017,491.96
5/23/2017,490.95
5/24/2017,489.56
5/25/2017,492.24
5/26/2017,492.69
5/29/2017,492.51
5/30/2017,490.11
5/31/2017,490.42
6/1/2017,491.11
6/2/2017,495.62
6/5/2017,498.93
6/6/2017,497.64
6/7/2017,497.14
6/8/2017,496.58
6/9/2017,495.66
6/12/2017,495.77
6/13/2017,495.95
6/14/2017,500.46
6/15/2017,499.41
6/16/2017,495.13
6/19/2017,497.6
6/20/2017,498.37
6/21/2017,497.05
6/22/2017,496.96
6/23/2017,496.59
6/26/2017,496.86
6/27/2017,497.77
6/28/2017,495.7
6/29/2017,495.11
6/30/2017,495.02
7/3/2017,500.01
7/4/2017,495.65
7/5/2017,496.17
7/6/2017,496.11
7/7/2017,494.54
7/10/2017,491.32
7/11/2017,490.91
7/12/2017,494.72
7/13/2017,496.38
7/14/2017,495.16
7/17/2017,497.01
7/18/2017,496.94
7/19/2017,496.63
7/20/2017,495.56
7/21/2017,495.35
7/24/2017,497.9
7/25/2017,500.06
7/26/2017,500.63
7/27/2017,501.98
7/28/2017,501.17
7/31/2017,500.23
8/1/2017,498.95
8/2/2017,498.42
8/3/2017,497.19
8/4/2017,498.7
8/7/2017,499.08
8/8/2017,501.82
8/9/2017,501.11
8/10/2017,499.3
8/11/2017,495.03
8/14/2017,497.27
8/15/2017,497.9
8/16/2017,498.72
8/17/2017,499.96
8/18/2017,498.55
8/21/2017,498.88
8/22/2017,500.32
8/23/2017,501.01
8/24/2017,500.8
8/25/2017,500.96
8/28/2017,501.97
8/29/2017,501.5
8/30/2017,502.91
8/31/2017,501.81
9/1/2017,502.34
9/4/2017,501.93
9/5/2017,502.22
9/6/2017,502.09
9/7/2017,505.6
9/8/2017,510.34
9/11/2017,510.39
9/12/2017,510.95
9/13/2017,510.34
9/14/2017,511.03
9/15/2017,512.33
9/18/2017,515.67
9/19/2017,514.25
9/20/2017,513.42
9/21/2017,512.89
9/22/2017,513.67
9/25/2017,514.99
9/26/2017,512.35
