Date,S&PSEA40INDEX
1/2/2020,105.2
1/3/2020,104.98
1/6/2020,104.09
1/7/2020,104.65
1/8/2020,103.84
1/9/2020,105.46
1/10/2020,105.87
1/13/2020,107.15
1/14/2020,106.75
1/15/2020,106.15
1/16/2020,106.21
1/17/2020,106.83
1/20/2020,106.08
1/21/2020,104.44
1/22/2020,104.86
1/23/2020,104.28
1/24/2020,104
1/27/2020,102.42
1/28/2020,102.36
1/29/2020,101.91
1/30/2020,100.39
1/31/2020,99.11
2/3/2020,99.32
2/4/2020,101.38
2/5/2020,101.71
2/6/2020,103.05
2/7/2020,102.35
2/10/2020,102.07
2/11/2020,102.78
2/12/2020,103.53
2/13/2020,103.11
2/14/2020,102.68
2/17/2020,102.94
2/18/2020,102.36
2/19/2020,103.16
2/20/2020,102.43
2/21/2020,101.27
2/24/2020,98.44
2/25/2020,98.63
2/26/2020,97.42
2/27/2020,96.86
2/28/2020,94.66
3/2/2020,95.42
3/3/2020,96.33
3/4/2020,97.44
3/5/2020,97.81
3/6/2020,95.3
3/9/2020,89.29
3/10/2020,91.22
3/11/2020,90.07
3/12/2020,84.37
3/13/2020,85.28
3/16/2020,79.59
3/17/2020,79.43
3/18/2020,76.71
3/19/2020,74.19
3/20/2020,77.24
3/23/2020,73.36
3/24/2020,76.26
3/25/2020,78.65
3/26/2020,81.87
3/27/2020,81.67
3/30/2020,80.6
3/31/2020,82.06
4/1/2020,80.22
4/2/2020,81.41
4/3/2020,81.05
4/6/2020,83.26
4/7/2020,84.99
4/8/2020,83.8
4/9/2020,84.61
4/10/2020,84.53
4/13/2020,84.72
4/14/2020,85.75
4/15/2020,85.07
4/16/2020,84.29
4/17/2020,86.17
4/20/2020,86.34
4/21/2020,84.29
4/22/2020,85.33
4/23/2020,85.4
4/24/2020,84.3
4/27/2020,85.2
4/28/2020,85.32
4/29/2020,86.85
4/30/2020,88.02
5/1/2020,87.22
5/4/2020,84.97
5/5/2020,85.48
5/6/2020,85.6
5/7/2020,85.47
5/8/2020,86.54
5/11/2020,87.48
5/12/2020,86.85
5/13/2020,86.19
5/14/2020,85.64
5/15/2020,85.1
5/18/2020,86.4
5/19/2020,87.35
5/20/2020,88.16
5/21/2020,87.59
5/22/2020,84.94
5/25/2020,85.15
5/26/2020,86.51
5/27/2020,86.79
5/28/2020,86.51
5/29/2020,87.8
6/1/2020,89.3
6/2/2020,91.5
6/3/2020,93.52
6/4/2020,94.08
6/5/2020,95.3
6/8/2020,95.33
6/9/2020,95.02
6/10/2020,95.45
6/11/2020,93.38
6/12/2020,93.06
6/15/2020,91.55
6/16/2020,93.87
6/17/2020,94.07
6/18/2020,93.95
6/19/2020,93.96
6/22/2020,93.89
6/23/2020,95.26
6/24/2020,94.63
6/25/2020,94.29
6/26/2020,93.51
6/29/2020,93.4
6/30/2020,93.85
7/1/2020,94.23
7/2/2020,96.16
7/3/2020,96.43
7/6/2020,98.28
7/7/2020,97.75
7/8/2020,100.15
7/9/2020,100.69
7/10/2020,99.74
7/13/2020,98.94
7/14/2020,98.27
7/15/2020,98.55
7/16/2020,97.32
7/17/2020,97.97
7/20/2020,98.81
7/21/2020,100.51
7/22/2020,98.99
7/23/2020,99.46
7/24/2020,97.99
7/27/2020,98.18
7/28/2020,98.5
7/29/2020,98.58
7/30/2020,98
7/31/2020,98.12
8/3/2020,97.32
8/4/2020,98.55
8/5/2020,99.47
8/6/2020,99.51
8/7/2020,97.55
8/10/2020,96.64
8/11/2020,97.58
8/12/2020,98.74
8/13/2020,98.91
8/14/2020,98.35
8/17/2020,98.92
8/18/2020,100.01
8/19/2020,99.54
8/20/2020,98.93
8/21/2020,99.35
8/24/2020,100.91
8/25/2020,101.84
8/26/2020,102.31
8/27/2020,102.25
8/28/2020,101.9
8/31/2020,100.52
9/1/2020,101.97
9/2/2020,102.04
9/3/2020,100.12
9/4/2020,99.56
9/7/2020,99.48
9/8/2020,98.82
9/9/2020,98.5
9/10/2020,97.3
9/11/2020,98.05
9/14/2020,99
9/15/2020,99.4
9/16/2020,99.38
9/17/2020,98.52
9/18/2020,98.08
9/21/2020,97.25
9/22/2020,96.64
9/23/2020,95.86
9/24/2020,93.88
9/25/2020,94.76
9/28/2020,95.17
9/29/2020,94.84
9/30/2020,95.59
10/1/2020,96.67
10/2/2020,96.2
10/5/2020,97.06
10/6/2020,97.97
10/7/2020,98.75
10/8/2020,99.51
10/9/2020,100.23
10/12/2020,101.63
10/13/2020,101.87
10/14/2020,102.22
10/15/2020,100.43
10/16/2020,100.91
10/19/2020,101.34
10/20/2020,101.6
10/21/2020,101.74
10/22/2020,101.45
10/23/2020,101.5
10/26/2020,101.26
10/27/2020,102.09
10/28/2020,101.58
10/29/2020,102
10/30/2020,100.72
11/2/2020,101.44
11/3/2020,101.35
11/4/2020,102.5
11/5/2020,106.09
11/6/2020,107.59
11/9/2020,108.39
11/10/2020,108.77
11/11/2020,108
11/12/2020,108.29
11/13/2020,109.52
11/16/2020,109.3
11/17/2020,109.03
11/18/2020,109.27
11/19/2020,108.31
11/20/2020,109.75
11/23/2020,110.78
11/24/2020,110.96
11/25/2020,110.19
11/26/2020,111.58
11/27/2020,111.14
11/30/2020,107.71
12/1/2020,109.63
12/2/2020,109.49
12/3/2020,110.54
12/4/2020,110.77
12/7/2020,110.77
12/8/2020,111.34
12/9/2020,111.44
12/10/2020,111.47
12/11/2020,112.39
12/14/2020,110.86
12/15/2020,110.81
12/16/2020,112.25
12/17/2020,112.89
12/18/2020,111.87
12/21/2020,110.15
12/22/2020,109.41
12/23/2020,109.69
12/24/2020,108.75
12/25/2020,108.89
12/28/2020,107.81
12/29/2020,109.6
12/30/2020,110.93
12/31/2020,110.93
1/4/2021,111.07
1/5/2021,112.91
1/6/2021,112.03
1/7/2021,111.56
1/8/2021,113.69
1/11/2021,113.57
1/12/2021,113.6
1/13/2021,114.78
1/14/2021,115.77
1/15/2021,114.93
1/18/2021,115.46
1/19/2021,116.36
1/20/2021,118.89
1/21/2021,118.64
1/22/2021,117.87
1/25/2021,120.01
1/26/2021,117.76
1/27/2021,115.98
1/28/2021,115
1/29/2021,113.15
2/1/2021,116.67
2/2/2021,117.23
2/3/2021,118.18
2/4/2021,118.13
2/5/2021,118.51
2/8/2021,118.47
2/9/2021,119.29
2/10/2021,120.76
2/11/2021,121.21
2/12/2021,121.32
2/15/2021,121.48
2/16/2021,121.65
2/17/2021,121.57
2/18/2021,119.59
2/19/2021,119.88
2/22/2021,116.96
2/23/2021,117.45
2/24/2021,115.63
2/25/2021,115.38
2/26/2021,113.01
3/1/2021,115.66
3/2/2021,115.1
3/3/2021,117.32
3/4/2021,114.38
3/5/2021,114.37
3/8/2021,111.82
3/9/2021,112.67
3/10/2021,113.52
3/11/2021,115.29
3/12/2021,113.4
3/15/2021,112.31
3/16/2021,112.55
3/17/2021,111.74
3/18/2021,112.38
3/19/2021,111.94
3/22/2021,111.33
3/23/2021,110.58
3/24/2021,109.14
3/25/2021,108.26
3/26/2021,109.83
3/29/2021,109.45
3/30/2021,109.29
3/31/2021,108.27
4/1/2021,109.85
4/2/2021,109.99
4/5/2021,109.64
4/6/2021,110.09
4/7/2021,108.81
4/8/2021,108.53
4/9/2021,108.15
4/12/2021,107.41
4/13/2021,106.7
4/14/2021,107.54
4/15/2021,107.5
4/16/2021,108.15
4/19/2021,107.88
4/20/2021,107.53
4/21/2021,106.68
4/22/2021,107.36
4/23/2021,108.26
4/26/2021,108.21
4/27/2021,108.47
4/28/2021,109.01
4/29/2021,109.44
4/30/2021,108.07
5/3/2021,107.6
5/4/2021,107.02
5/5/2021,106.15
5/6/2021,106.65
5/7/2021,106.59
5/10/2021,105.68
5/11/2021,105.38
5/12/2021,105.11
5/13/2021,102.96
5/14/2021,103.77
5/17/2021,104.31
5/18/2021,105.02
5/19/2021,104.54
5/20/2021,105.22
5/21/2021,104.54
5/24/2021,104.39
5/25/2021,105.68
5/26/2021,106.31
5/27/2021,106.83
5/28/2021,107.15
5/31/2021,108.58
6/1/2021,110.56
6/2/2021,110.78
6/3/2021,110.22
6/4/2021,109.79
6/7/2021,109.36
6/8/2021,109.03
6/9/2021,108.92
6/10/2021,109.37
6/11/2021,109.87
6/14/2021,109.81
6/15/2021,109.04
6/16/2021,108.2
6/17/2021,107.84
6/18/2021,107.52
6/21/2021,106.65
6/22/2021,106.2
6/23/2021,106.74
6/24/2021,107.1
6/25/2021,108.49
6/28/2021,107.96
6/29/2021,108.24
6/30/2021,107.6
7/1/2021,106.99
7/2/2021,105.94
7/5/2021,105.27
7/6/2021,104.45
7/7/2021,103.19
7/8/2021,100.95
7/9/2021,102
7/12/2021,102.22
7/13/2021,103.23
7/14/2021,102.52
7/15/2021,103.56
7/16/2021,102.88
7/19/2021,101.14
7/20/2021,101
7/21/2021,101.15
7/22/2021,102.39
7/23/2021,100.72
7/26/2021,97.24
7/27/2021,94.67
7/28/2021,96.19
7/29/2021,97.78
7/30/2021,96.76
8/2/2021,97.52
8/3/2021,97.4
8/4/2021,98.01
8/5/2021,97.43
8/6/2021,96.87
8/9/2021,97.69
8/10/2021,98.46
8/11/2021,98.5
8/12/2021,98.11
8/13/2021,97.31
8/16/2021,96.48
8/17/2021,95.59
8/18/2021,96.53
8/19/2021,94.07
8/20/2021,93.93
8/23/2021,95.26
8/24/2021,98.51
8/25/2021,99.24
8/26/2021,98.59
8/27/2021,98.48
8/30/2021,99.64
8/31/2021,101.61
9/1/2021,101.98
9/2/2021,102.33
9/3/2021,102.59
9/6/2021,102.9
9/7/2021,103.65
9/8/2021,102.8
9/9/2021,101.45
9/10/2021,102
9/13/2021,100.74
9/14/2021,99.67
9/15/2021,99.11
9/16/2021,98.94
9/17/2021,99.07
9/20/2021,97.08
9/21/2021,96.91
9/22/2021,97.33
9/23/2021,98.52
9/24/2021,97.85
9/27/2021,98.12
9/28/2021,97.74
9/29/2021,97.43
9/30/2021,98
10/1/2021,97.52
10/4/2021,96.88
10/5/2021,97.43
10/6/2021,97.79
10/7/2021,100.36
10/8/2021,101.42
10/11/2021,102.45
10/12/2021,102.41
10/13/2021,103.67
10/14/2021,104.2
10/15/2021,104.98
10/18/2021,105.12
10/19/2021,106.28
10/20/2021,106.73
10/21/2021,106.1
10/22/2021,106.45
10/25/2021,106
10/26/2021,105.33
10/27/2021,103.86
10/28/2021,103.51
10/29/2021,102.63
11/1/2021,102.28
11/2/2021,101.52
11/3/2021,102.09
11/4/2021,102.12
11/5/2021,101.27
11/8/2021,101.84
11/9/2021,101.84
11/10/2021,102.86
11/11/2021,103.53
11/12/2021,103.85
11/15/2021,103.94
11/16/2021,104.66
11/17/2021,104.14
11/18/2021,102.38
11/19/2021,102.36
11/22/2021,101.08
11/23/2021,100.2
11/24/2021,100.2
11/25/2021,100.5
11/26/2021,97.84
11/29/2021,97.56
11/30/2021,96.08
12/1/2021,96.41
12/2/2021,96.97
12/3/2021,94.92
12/6/2021,94.66
12/7/2021,96.93
12/8/2021,97.32
12/9/2021,97.64
12/10/2021,97.15
12/13/2021,96.77
12/14/2021,96.79
12/15/2021,95.73
12/16/2021,95.87
12/17/2021,95.44
12/20/2021,93.34
12/21/2021,95.25
12/22/2021,95.14
12/23/2021,96.12
12/24/2021,95.98
12/27/2021,95.92
12/28/2021,95.83
12/29/2021,95.35
12/30/2021,96.39
12/31/2021,96.67
1/3/2022,96.65
1/4/2022,96.38
1/5/2022,95.41
1/6/2022,95.5
1/7/2022,96.75
1/10/2022,97.23
1/11/2022,98.67
1/12/2022,100.47
1/13/2022,99.91
1/14/2022,100.01
1/17/2022,99.68
1/18/2022,98.77
1/19/2022,98.4
1/20/2022,100.27
1/21/2022,99.73
1/24/2022,98.24
1/25/2022,97.38
1/26/2022,97.26
1/27/2022,95.85
1/28/2022,96.22
1/31/2022,98.07
2/1/2022,98.33
2/2/2022,98.39
2/3/2022,98.09
2/4/2022,99.03
2/7/2022,98.58
2/8/2022,98.99
2/9/2022,101.09
2/10/2022,100.81
2/11/2022,100
2/14/2022,99.12
2/15/2022,100.34
2/16/2022,100.87
2/17/2022,100.86
2/18/2022,99.39
2/21/2022,98.65
2/22/2022,97.28
2/23/2022,97.46
2/24/2022,95.33
2/25/2022,96.45
2/28/2022,96.45
3/1/2022,96.77
3/2/2022,96.18
3/3/2022,95.75
3/4/2022,94.21
3/7/2022,91.5
3/8/2022,91
3/9/2022,92.61
3/10/2022,91.98
3/11/2022,90.58
3/14/2022,88.37
3/15/2022,87.14
3/16/2022,93.58
3/17/2022,94.5
3/18/2022,94.93
3/21/2022,93.46
3/22/2022,95.56
3/23/2022,95.7
3/24/2022,95.22
3/25/2022,94.27
3/28/2022,95.05
3/29/2022,95.78
3/30/2022,96.2
3/31/2022,95.06
4/1/2022,95.77
4/4/2022,97.44
4/5/2022,96.52
4/6/2022,95.15
4/7/2022,93.99
4/8/2022,93.98
4/11/2022,92.53
4/12/2022,92.58
4/13/2022,92.85
4/14/2022,92.05
4/15/2022,92.03
4/18/2022,91.8
4/19/2022,91.07
4/20/2022,90.81
4/21/2022,90.28
4/22/2022,89.7
4/25/2022,88.97
4/26/2022,89.32
4/27/2022,89.76
4/28/2022,90.68
4/29/2022,92.91
5/2/2022,93.38
5/3/2022,93.16
5/4/2022,92.85
5/5/2022,91.81
5/6/2022,89.61
5/9/2022,86.72
5/10/2022,86.37
5/11/2022,86.32
5/12/2022,84.88
5/13/2022,86.17
5/16/2022,85.9
5/17/2022,88.32
5/18/2022,87.71
5/19/2022,86.66
5/20/2022,87.85
5/23/2022,87.65
5/24/2022,86.35
5/25/2022,86.28
5/26/2022,87.87
5/27/2022,89.49
5/30/2022,90.36
5/31/2022,91.85
6/1/2022,91.15
6/2/2022,91.16
6/3/2022,90.7
6/6/2022,92.2
6/7/2022,92.25
6/8/2022,94.56
6/9/2022,93.07
6/10/2022,91.91
6/13/2022,88.87
6/14/2022,90.16
6/15/2022,90.26
6/16/2022,88.68
6/17/2022,88.89
6/20/2022,88.86
6/21/2022,90.17
6/22/2022,88.22
6/23/2022,89.07
6/24/2022,90.65
6/27/2022,91.06
6/28/2022,91.03
6/29/2022,90.12
6/30/2022,88.79
7/1/2022,88.78
7/4/2022,88.23
7/5/2022,88.6
7/6/2022,87.96
7/7/2022,88.48
7/8/2022,88.6
7/11/2022,86.53
7/12/2022,85.93
7/13/2022,85.38
7/14/2022,84.68
7/15/2022,84.12
7/18/2022,85.51
7/19/2022,85.79
7/20/2022,86.68
7/21/2022,86.65
7/22/2022,86.21
7/25/2022,86.08
7/26/2022,86.21
7/27/2022,86.55
7/28/2022,86.74
7/29/2022,85.35
8/1/2022,85.87
8/2/2022,85.82
8/3/2022,86.6
8/4/2022,87.53
8/5/2022,87.29
8/8/2022,86.86
8/9/2022,87.1
8/10/2022,87.04
8/11/2022,88.34
8/12/2022,88.62
8/15/2022,88.14
8/16/2022,87.82
8/17/2022,87.59
8/18/2022,87.57
8/19/2022,87.04
8/22/2022,86.43
8/23/2022,86.81
8/24/2022,87.27
8/25/2022,89.33
8/26/2022,88.96
8/29/2022,88.42
8/30/2022,88.42
8/31/2022,89.06
9/1/2022,88.1
9/2/2022,87.84
9/5/2022,87.76
9/6/2022,87.2
9/7/2022,87.25
9/8/2022,87.24
9/9/2022,88.71
9/12/2022,89.19
9/13/2022,88.14
9/14/2022,87.06
9/15/2022,86.87
9/16/2022,85.29
9/19/2022,85.52
9/20/2022,85.34
9/21/2022,84.04
9/22/2022,83.4
9/23/2022,82.09
9/26/2022,82.01
9/27/2022,81.5
9/28/2022,80.75
9/29/2022,80.14
9/30/2022,80.49
10/3/2022,79.72
10/4/2022,81.33
10/5/2022,82.33
10/6/2022,82.19
10/7/2022,80.59
10/10/2022,79.51
10/11/2022,77.71
10/12/2022,77.55
10/13/2022,77.09
10/14/2022,76.41
10/17/2022,77.42
10/18/2022,78.02
10/19/2022,76.67
10/20/2022,76.81
10/21/2022,77.18
10/24/2022,74.62
10/25/2022,74.96
10/26/2022,76.01
10/27/2022,75.8
10/28/2022,75.07
10/31/2022,75.07
11/1/2022,76.48
11/2/2022,76.44
11/3/2022,75.83
11/4/2022,77.83
11/7/2022,78.65
11/8/2022,78.63
11/9/2022,77.97
11/10/2022,78.44
11/11/2022,81.73
11/14/2022,81.41
11/15/2022,83.92
11/16/2022,83.15
11/17/2022,83.59
11/18/2022,83.29
11/21/2022,81.93
11/22/2022,81.54
11/23/2022,82.14
11/24/2022,83.07
11/25/2022,82.46
11/28/2022,82.49
11/29/2022,84.09
11/30/2022,86.19
12/1/2022,86.33
12/2/2022,86.7
12/5/2022,87.34
12/6/2022,86.48
12/7/2022,84.71
12/8/2022,86.31
12/9/2022,86.25
12/12/2022,85.39
12/13/2022,86.21
12/14/2022,86.7
12/15/2022,84.82
12/16/2022,84.92
12/19/2022,85.16
12/20/2022,84.31
12/21/2022,84.97
12/22/2022,85.54
12/23/2022,84.71
12/26/2022,84.9
12/27/2022,85.55
12/28/2022,85.32
12/29/2022,86.45
12/30/2022,86.36
1/2/2023,86.33
1/3/2023,87.53
1/4/2023,89.69
1/5/2023,89.52
1/6/2023,89.69
1/9/2023,91.08
1/10/2023,90.67
1/11/2023,90.94
1/12/2023,91.11
1/13/2023,92.2
1/16/2023,92.39
1/17/2023,92.18
1/18/2023,92.35
1/19/2023,92.77
1/20/2023,94.04
1/23/2023,94.31
1/24/2023,94.35
1/25/2023,93.82
1/26/2023,95.29
1/27/2023,95.35
1/30/2023,93.46
1/31/2023,92.63
2/1/2023,93.53
2/2/2023,93.26
2/3/2023,92.97
2/6/2023,91.4
2/7/2023,91.66
2/8/2023,91.42
2/9/2023,91.93
2/10/2023,90.5
2/13/2023,90.86
2/14/2023,90.84
2/15/2023,90.36
2/16/2023,90.78
2/17/2023,89.76
2/20/2023,90.05
2/21/2023,88.36
2/22/2023,87.41
2/23/2023,87.42
2/24/2023,85.96
2/27/2023,85.79
2/28/2023,85.05
3/1/2023,87.11
3/2/2023,87.25
3/3/2023,87.48
3/6/2023,87.37
3/7/2023,86.96
3/8/2023,86.07
3/9/2023,84.57
3/10/2023,83.68
3/13/2023,84.28
3/14/2023,83.15
3/15/2023,83.2
3/16/2023,83.13
3/17/2023,83.88
3/20/2023,83.13
3/21/2023,84.4
3/22/2023,84.39
3/23/2023,86.23
3/24/2023,86.49
3/27/2023,85.29
3/28/2023,87.45
3/29/2023,88.41
3/30/2023,88.92
3/31/2023,89.12
4/3/2023,88.65
4/4/2023,88.32
4/5/2023,88.27
4/6/2023,88.46
4/7/2023,88.54
4/10/2023,88.58
4/11/2023,88.69
4/12/2023,87.87
4/13/2023,87.91
4/14/2023,88.34
4/17/2023,88.45
4/18/2023,88.1
4/19/2023,87.4
4/20/2023,87.35
4/21/2023,86.52
4/24/2023,86.32
4/25/2023,85.38
4/26/2023,85.92
4/27/2023,85.93
4/28/2023,86
5/1/2023,86.01
5/2/2023,86.04
5/3/2023,85.39
5/4/2023,85.8
5/5/2023,86.35
5/8/2023,86.58
5/9/2023,85.61
5/10/2023,85.78
5/11/2023,85.63
5/12/2023,85.4
5/15/2023,85.96
5/16/2023,85.89
5/17/2023,85.34
5/18/2023,85.59
5/19/2023,85.01
5/22/2023,85.85
5/23/2023,85.19
5/24/2023,84.73
5/25/2023,83.79
5/26/2023,84.37
5/29/2023,84.04
5/30/2023,83.96
5/31/2023,82.95
6/1/2023,83.03
6/2/2023,84.78
6/5/2023,85.05
6/6/2023,84.97
6/7/2023,85.45
6/8/2023,85.73
6/9/2023,85.95
6/12/2023,85.91
6/13/2023,86.71
6/14/2023,86.34
6/15/2023,87.61
6/16/2023,88.44
6/19/2023,87.85
6/20/2023,86.69
6/21/2023,86.03
6/22/2023,85.61
6/23/2023,84.87
6/26/2023,84.63
6/27/2023,85.41
6/28/2023,85.11
6/29/2023,84.77
6/30/2023,84.84
7/3/2023,86.17
7/4/2023,86.39
7/5/2023,85.78
7/6/2023,84.4
7/7/2023,84.08
7/10/2023,84.65
7/11/2023,85.59
7/12/2023,86.5
7/13/2023,88.09
7/14/2023,88.79
7/17/2023,89.03
7/18/2023,88.39
7/19/2023,88.18
7/20/2023,87.86
7/21/2023,87.75
7/24/2023,87.16
7/25/2023,89.16
7/26/2023,89.52
7/27/2023,89.71
7/28/2023,90.18
7/31/2023,91.03
8/1/2023,90.79
8/2/2023,89.37
8/3/2023,88.77
8/4/2023,89.05
8/7/2023,89.28
8/8/2023,88.04
8/9/2023,88.61
8/10/2023,88.73
8/11/2023,88.14
8/14/2023,87.31
8/15/2023,86.44
8/16/2023,86.17
8/17/2023,86.03
8/18/2023,84.91
8/21/2023,84.5
8/22/2023,85.26
8/23/2023,85.45
8/24/2023,86.12
8/25/2023,85.44
8/28/2023,85.78
8/29/2023,86.84
8/30/2023,86.89
8/31/2023,86.44
9/1/2023,86.86
9/4/2023,87.62
9/5/2023,86.97
9/6/2023,86.74
9/7/2023,85.83
9/8/2023,85.79
9/11/2023,85.93
9/12/2023,85.63
9/13/2023,85.24
9/14/2023,85.42
9/15/2023,85.28
9/18/2023,84.46
9/19/2023,84.54
9/20/2023,83.78
9/21/2023,83.08
9/22/2023,84.22
9/25/2023,83.18
9/26/2023,82.31
9/27/2023,82.45
9/28/2023,81.81
9/29/2023,82.26
10/2/2023,82.03
10/3/2023,80.58
10/4/2023,80.42
10/5/2023,80.43
10/6/2023,80.78
10/9/2023,80.62
10/10/2023,81.51
10/11/2023,82.57
10/12/2023,83.03
10/13/2023,82.03
10/16/2023,81.28
10/17/2023,81.31
10/18/2023,81.1
10/19/2023,79.47
10/20/2023,78.86
10/23/2023,78.59
10/24/2023,78.49
10/25/2023,79.1
10/26/2023,78.26
10/27/2023,79.1
10/30/2023,79.7
10/31/2023,78.76
11/1/2023,78.35
11/2/2023,79.61
11/3/2023,81.07
11/6/2023,82.34
11/7/2023,81.5
11/8/2023,81.2
11/9/2023,81.05
11/10/2023,79.97
11/13/2023,80.16
