"Date,crude_oil"
"1/1/2020,61.33"
"1/2/2020,61.18"
"1/3/2020,63.05"
"1/6/2020,63.27"
"1/7/2020,62.7"
"1/8/2020,59.61"
"1/9/2020,59.56"
"1/10/2020,59.04"
"1/13/2020,58.08"
"1/14/2020,58.23"
"1/15/2020,57.81"
"1/16/2020,58.52"
"1/17/2020,58.54"
"1/19/2020,59.27"
"1/20/2020,58.73"
"1/21/2020,58.34"
"1/22/2020,56.74"
"1/23/2020,55.59"
"1/24/2020,54.19"
"1/27/2020,53.14"
"1/28/2020,53.48"
"1/29/2020,53.33"
"1/30/2020,52.14"
"1/31/2020,51.56"
"2/3/2020,50.11"
"2/4/2020,49.61"
"2/5/2020,50.75"
"2/6/2020,50.95"
"2/7/2020,50.32"
"2/10/2020,49.57"
"2/11/2020,49.94"
"2/12/2020,51.17"
"2/13/2020,51.42"
"2/14/2020,52.05"
"2/16/2020,52.36"
"2/17/2020,52.2"
"2/18/2020,52.05"
"2/19/2020,53.29"
"2/20/2020,53.78"
"2/21/2020,53.38"
"2/24/2020,51.43"
"2/25/2020,49.9"
"2/26/2020,48.73"
"2/27/2020,47.09"
"2/28/2020,44.76"
"3/2/2020,46.75"
"3/3/2020,47.18"
"3/4/2020,46.78"
"3/5/2020,45.9"
"3/6/2020,41.28"
"3/9/2020,31.13"
"3/10/2020,34.36"
"3/11/2020,32.98"
"3/12/2020,31.5"
"3/13/2020,31.73"
"3/16/2020,28.7"
"3/17/2020,26.95"
"3/18/2020,20.37"
"3/19/2020,25.22"
"3/20/2020,22.43"
"3/23/2020,23.36"
"3/24/2020,24.01"
"3/25/2020,24.49"
"3/26/2020,22.6"
"3/27/2020,21.51"
"3/30/2020,20.09"
"3/31/2020,20.48"
"4/1/2020,20.31"
"4/2/2020,25.32"
"4/3/2020,28.34"
"4/6/2020,26.08"
"4/7/2020,23.63"
"4/8/2020,25.09"
"4/9/2020,22.76"
"4/13/2020,22.41"
"4/14/2020,20.11"
"4/15/2020,19.87"
"4/16/2020,19.87"
"4/17/2020,18.27"
"4/20/2020,-37.63"
"4/21/2020,10.01"
"4/22/2020,13.78"
"4/23/2020,16.5"
"4/24/2020,16.94"
"4/27/2020,12.78"
"4/28/2020,12.34"
"4/29/2020,15.06"
"4/30/2020,18.84"
"5/1/2020,19.78"
"5/4/2020,20.39"
"5/5/2020,24.56"
"5/6/2020,23.99"
"5/7/2020,23.55"
"5/8/2020,24.74"
"5/11/2020,24.14"
"5/12/2020,25.78"
"5/13/2020,25.29"
"5/14/2020,27.56"
"5/15/2020,29.43"
"5/18/2020,31.82"
"5/19/2020,32.5"
"5/20/2020,33.49"
"5/21/2020,33.92"
"5/22/2020,33.25"
"5/24/2020,32.9"
"5/25/2020,33.92"
"5/26/2020,34.35"
"5/27/2020,32.81"
"5/28/2020,33.71"
"5/29/2020,35.49"
"6/1/2020,35.44"
"6/2/2020,36.81"
"6/3/2020,37.29"
"6/4/2020,37.41"
"6/5/2020,39.55"
"6/8/2020,38.19"
"6/9/2020,38.94"
"6/10/2020,39.6"
"6/11/2020,36.34"
"6/12/2020,36.26"
"6/15/2020,37.12"
"6/16/2020,38.38"
"6/17/2020,37.96"
"6/18/2020,38.84"
"6/19/2020,39.75"
"6/22/2020,40.46"
"6/23/2020,40.37"
"6/24/2020,38.01"
"6/25/2020,38.72"
"6/26/2020,38.49"
"6/29/2020,39.7"
"6/30/2020,39.27"
"7/1/2020,39.82"
"7/2/2020,40.65"
"7/3/2020,40.28"
"7/6/2020,40.63"
"7/7/2020,40.62"
"7/8/2020,40.9"
"7/9/2020,39.62"
"7/10/2020,40.55"
"7/13/2020,40.1"
"7/14/2020,40.29"
"7/15/2020,41.2"
"7/16/2020,40.75"
"7/17/2020,40.59"
"7/20/2020,40.81"
"7/21/2020,41.96"
"7/22/2020,41.9"
"7/23/2020,41.07"
"7/24/2020,41.29"
"7/27/2020,41.6"
"7/28/2020,41.04"
"7/29/2020,41.27"
"7/30/2020,39.92"
"7/31/2020,40.27"
"8/3/2020,41.01"
"8/4/2020,41.7"
"8/5/2020,42.19"
"8/6/2020,41.95"
"8/7/2020,41.22"
"8/10/2020,41.94"
"8/11/2020,41.61"
"8/12/2020,42.67"
"8/13/2020,42.24"
"8/14/2020,42.01"
"8/17/2020,42.89"
"8/18/2020,42.89"
"8/19/2020,42.93"
"8/20/2020,42.58"
"8/21/2020,42.34"
"8/24/2020,42.62"
"8/25/2020,43.35"
"8/26/2020,43.39"
"8/27/2020,43.04"
"8/28/2020,42.97"
"8/31/2020,42.61"
"9/1/2020,42.76"
"9/2/2020,41.51"
"9/3/2020,41.37"
"9/4/2020,39.77"
"9/6/2020,38.75"
"9/7/2020,39.2"
"9/8/2020,36.76"
"9/9/2020,38.05"
"9/10/2020,37.3"
"9/11/2020,37.33"
"9/14/2020,37.26"
"9/15/2020,38.28"
"9/16/2020,40.16"
"9/17/2020,40.97"
"9/18/2020,41.11"
"9/21/2020,39.31"
"9/22/2020,39.6"
"9/23/2020,39.93"
"9/24/2020,40.31"
"9/25/2020,40.25"
"9/28/2020,40.6"
"9/29/2020,39.29"
"9/30/2020,40.22"
"10/1/2020,38.72"
"10/2/2020,37.05"
"10/5/2020,39.22"
"10/6/2020,40.67"
"10/7/2020,39.95"
"10/8/2020,41.19"
"10/9/2020,40.6"
"10/12/2020,39.43"
"10/13/2020,40.2"
"10/14/2020,41.04"
"10/15/2020,40.96"
"10/16/2020,40.88"
"10/19/2020,40.83"
"10/20/2020,41.46"
"10/21/2020,40.03"
"10/22/2020,40.64"
"10/23/2020,39.85"
"10/26/2020,38.56"
"10/27/2020,39.57"
"10/28/2020,37.39"
"10/29/2020,36.17"
"10/30/2020,35.79"
"11/2/2020,36.81"
"11/3/2020,37.66"
"11/4/2020,39.15"
"11/5/2020,38.79"
"11/6/2020,37.14"
"11/9/2020,40.29"
"11/10/2020,41.36"
"11/11/2020,41.45"
"11/12/2020,41.12"
"11/13/2020,40.13"
"11/16/2020,41.34"
"11/17/2020,41.43"
"11/18/2020,41.82"
"11/19/2020,41.74"
"11/20/2020,42.15"
"11/23/2020,43.06"
"11/24/2020,44.91"
"11/25/2020,45.71"
"11/26/2020,44.98"
"11/27/2020,45.53"
"11/30/2020,45.34"
"12/1/2020,44.55"
"12/2/2020,45.28"
"12/3/2020,45.64"
"12/4/2020,46.26"
"12/7/2020,45.76"
"12/8/2020,45.6"
"12/9/2020,45.52"
"12/10/2020,46.78"
"12/11/2020,46.57"
"12/14/2020,46.99"
"12/15/2020,47.62"
"12/16/2020,47.82"
"12/17/2020,48.36"
"12/18/2020,49.1"
"12/21/2020,47.74"
"12/22/2020,47.02"
"12/23/2020,48.12"
"12/24/2020,48.23"
"12/28/2020,47.62"
"12/29/2020,48"
"12/30/2020,48.4"
"12/31/2020,48.52"
"1/4/2021,47.62"
"1/5/2021,49.93"
"1/6/2021,50.63"
"1/7/2021,50.83"
"1/8/2021,52.24"
"1/11/2021,52.25"
"1/12/2021,53.21"
"1/13/2021,52.91"
"1/14/2021,53.57"
"1/15/2021,52.36"
"1/17/2021,52.2"
"1/18/2021,52.36"
"1/19/2021,52.98"
"1/20/2021,53.24"
